conv_id,turn_id,entropy,num_retrieved_documents,num_unique_titles
hobby_level2_dial9,2,0.7280989318518506,100,33
hobby_level2_dial9,3,0.5093313948839867,100,11
hobby_level2_dial9,4,0.9395256675754053,100,58
hobby_level2_dial9,5,0.7451451491643706,100,27
top25_dial51,1,0.9151030868410016,100,51
top25_dial51,2,0.9033284199015212,100,55
top25_dial51,3,0.8683541166664285,100,32
top25_dial51,4,0.9792264663623569,100,89
top25_dial51,5,0.9276016293058625,100,63
top25_dial51,6,0.9534669549218018,100,57
hobby_level3_dial35,1,0.5859586818860558,100,35
hobby_level3_dial35,2,0.9442912234929504,100,78
hobby_level3_dial35,3,0.9510161057361856,100,65
hobby_level3_dial35,4,0.9665001775079394,100,73
hobby_level3_dial35,5,0.9221856968764074,100,58
hobby_level3_dial35,6,0.8288625446288841,100,40
hobby_level3_dial35,7,0.9485888243866768,100,68
food_level1_dial11,1,0.9269805509638532,100,56
food_level1_dial11,2,0.8321300996858896,100,44
food_level1_dial11,3,0.8075036487211289,100,34
food_level1_dial11,4,0.940466552961869,100,50
food_level1_dial11,5,0.8989660114263246,100,29
food_level1_dial11,6,0.9296568194886262,100,65
hobby_level2_dial21,1,0.8845957149192785,100,50
hobby_level2_dial21,2,0.9139968555394419,100,57
hobby_level2_dial21,3,0.9264396198949344,100,38
hobby_level2_dial21,4,0.9739981034664611,100,82
food_level2_dial4,1,0.8196826622428723,100,40
food_level2_dial4,2,0.8093356086917253,100,41
food_level2_dial4,3,0.7643273969290297,100,33
food_level2_dial4,4,0.8948179181739054,100,42
food_level2_dial4,5,0.8960122459030558,100,57
food_level2_dial4,6,0.742523292947294,100,29
hobby_level3_dial1,1,0.9514330525702349,100,64
hobby_level3_dial1,2,0.9323910510111669,100,58
hobby_level3_dial1,3,0.6346366636002012,100,28
hobby_level3_dial1,4,0.93562871185417,100,56
hobby_level3_dial1,5,0.8560453542520117,100,27
hobby_level3_dial1,6,0.891621053775811,100,57
hobby_level1_dial18,1,0.835270208220837,100,31
hobby_level1_dial18,2,0.8935216153525601,100,37
hobby_level1_dial18,3,0.7594305878115953,100,27
hobby_level1_dial18,4,0.8989850683798675,100,58
hobby_level1_dial18,5,0.8399827894112354,100,48
hobby_level1_dial18,6,0.9558027407135214,100,82
food_level1_dial12,1,0.8861080154524177,100,55
food_level1_dial12,2,0.7921139763739078,100,36
food_level1_dial12,3,0.8025604147250538,100,35
food_level1_dial12,4,0.8029577484467364,100,34
food_level1_dial12,5,0.8527154337637395,100,41
food_level1_dial12,6,0.7476494550036736,100,38
