conv_id,turn_id,score_mean,score_std,score_min,score_max
food_level3_dial26,1,72.52977493,1.1179582895728641,71.200584,75.552246
food_level3_dial26,2,73.64588344,1.0515501313667868,72.57557,77.1325
food_level3_dial26,3,72.13388091,0.8212323168078215,71.062386,75.0049
food_level3_dial26,4,70.15399894000001,1.375407395709582,69.089355,77.88797
food_level3_dial26,5,75.09662804999999,0.8458727540416034,74.21025,79.97552
food_level3_dial26,6,72.93830291,1.2322132501307808,71.86461,79.394104
hobby_level1_dial16,1,74.88879610000001,0.8923480638117224,73.963104,78.768036
hobby_level1_dial16,2,78.24465045,1.2122367622100343,77.23624,84.44819
hobby_level1_dial16,3,79.42247182000001,0.528344488182443,78.7392,81.3263
hobby_level1_dial16,4,78.31915690000001,1.6344381018282248,76.60029,83.54352
hobby_level1_dial16,5,72.43744475000001,1.1783203513665057,71.5146,78.02864
hobby_level1_dial16,6,70.87707832999999,1.0108728527637691,69.89769,75.396675
top25_dial5,1,75.0820082,1.6839824782963737,73.75585,81.30639
top25_dial5,2,71.96698195,2.106125626961594,70.00318,79.32173
top25_dial5,3,74.1169382,2.285697000372547,71.94403,81.02373
food_level2_dial36,1,69.84692486,1.4168262753316094,68.54676,75.89058
food_level2_dial36,2,70.56402508999999,1.531415930565646,69.31356,77.49126
food_level2_dial36,3,68.50059353,1.3730602630103275,66.95003,73.08609
food_level2_dial36,4,73.59301205,1.5205329249748158,72.21555,78.52414
food_level2_dial36,5,79.93754983,1.7091584631024297,78.56898,88.73807
food_level3_dial27,1,75.23833476,1.475990525234543,73.56989,80.96413
food_level3_dial27,2,67.89082929,1.093068736868101,66.86965,72.50195
food_level3_dial27,3,69.87086989,1.1487021624836076,68.53731,74.07117
food_level3_dial27,4,75.92972088,1.7272645865985814,74.615135,85.28449
food_level3_dial27,5,78.20740749000001,1.8097686488716043,76.421196,84.7601
food_level3_dial27,6,77.45397281,1.2504419189349396,76.1236,82.26864
food_level2_dial37,1,72.61344306999999,1.5576710818952515,70.97618,76.866615
food_level2_dial37,2,71.84763985000001,1.1158764952567053,70.665405,76.86468
food_level2_dial37,3,75.47977356,1.3892212856058843,73.86136,79.437035
food_level2_dial37,4,79.02375205,1.220802138530109,77.85305,85.297966
food_level2_dial37,5,82.72473618,1.676713987110738,80.79356,89.93479
food_level2_dial37,6,74.81628784,1.190685010287069,73.632935,79.55861
food_level2_dial12,1,72.6657095,1.3860450195840144,71.440865,78.39269
food_level2_dial12,2,79.60962247999998,1.2206895857295448,78.348236,84.135956
food_level2_dial12,3,74.23842127,0.9931334564559674,73.12566,78.01769
food_level2_dial12,4,81.30039178999999,1.0312886213509227,79.99956,84.20037
food_level2_dial12,5,76.86894816,1.4100094761916868,75.37171,81.75625
food_level2_dial12,6,74.55928383999999,1.9866319662165597,72.26585,80.223274
hobby_level2_dial2,1,73.7588307,1.220258433826576,72.464966,78.20542
hobby_level2_dial2,2,73.35811561999999,0.6738238509840953,72.521324,75.316025
hobby_level2_dial2,3,76.35986025,1.2691935798566139,75.0282,81.171524
hobby_level2_dial2,4,81.26391679,2.677168530229135,78.62738,87.66444
