conv_id,turn_id,num_unique_titles,num_retrieved_documents
food_level3_dial30,1,53,100
food_level3_dial30,2,75,100
food_level3_dial30,3,69,100
food_level3_dial30,4,57,100
food_level3_dial30,5,40,100
food_level3_dial30,6,34,100
food_level3_dial30,7,61,100
food_level1_dial14,1,27,100
food_level1_dial14,2,32,100
food_level1_dial14,3,15,100
food_level1_dial14,4,60,100
food_level1_dial14,5,48,100
food_level1_dial14,6,57,100
hobby_level1_dial19,1,69,100
hobby_level1_dial19,2,30,100
hobby_level1_dial19,3,20,100
hobby_level1_dial19,4,30,100
hobby_level1_dial19,5,61,100
hobby_level1_dial19,6,42,100
top25_dial53,1,30,100
top25_dial53,2,59,100
top25_dial53,3,54,100
top25_dial53,4,34,100
top25_dial53,5,73,100
top25_dial53,6,75,100
food_level3_dial31,1,76,100
food_level3_dial31,2,45,100
food_level3_dial31,3,48,100
food_level3_dial31,4,66,100
food_level3_dial31,5,44,100
food_level3_dial31,6,33,100
hobby_level1_dial2,1,31,100
hobby_level1_dial2,2,48,100
hobby_level1_dial2,3,37,100
hobby_level1_dial2,4,35,100
hobby_level1_dial2,5,45,100
hobby_level1_dial2,6,50,100
food_level2_dial14,1,69,100
food_level2_dial14,2,66,100
food_level2_dial14,3,51,100
food_level2_dial14,4,65,100
food_level2_dial14,5,46,100
food_level2_dial14,6,64,100
hobby_level3_dial38,1,34,100
hobby_level3_dial38,2,53,100
hobby_level3_dial38,3,33,100
hobby_level3_dial38,4,33,100
hobby_level3_dial38,5,42,100
hobby_level3_dial38,6,35,100
hobby_level2_dial23,1,27,100
hobby_level2_dial23,2,42,100
hobby_level2_dial23,3,35,100
hobby_level2_dial23,4,22,100
hobby_level2_dial23,5,35,100
hobby_level2_dial23,6,35,100
hobby_level3_dial11,1,46,100
hobby_level3_dial11,2,55,100
hobby_level3_dial11,3,26,100
hobby_level3_dial11,4,18,100
hobby_level3_dial11,5,51,100
hobby_level3_dial11,6,57,100
hobby_level3_dial11,7,54,100
food_level1_dial15,1,37,100
food_level1_dial15,2,39,100
food_level1_dial15,3,27,100
food_level1_dial15,4,32,100
food_level1_dial15,5,32,100
food_level1_dial15,6,64,100
food_level3_dial32,1,32,100
food_level3_dial32,2,17,100
food_level3_dial32,3,18,100
food_level3_dial32,4,5,100
food_level3_dial32,5,35,100
food_level3_dial32,6,33,100
top25_dial25,1,52,100
top25_dial25,2,18,100
top25_dial25,3,24,100
top25_dial25,4,38,100
top25_dial25,5,30,100
top25_dial25,6,19,100
hobby_level3_dial4,1,59,100
hobby_level3_dial4,2,80,100
hobby_level3_dial4,3,33,100
hobby_level1_dial20,1,20,100
hobby_level1_dial20,2,33,100
hobby_level1_dial20,3,62,100
hobby_level1_dial20,4,63,100
hobby_level1_dial20,5,49,100
hobby_level1_dial20,6,63,100
food_level2_dial15,1,33,100
food_level2_dial15,2,39,100
food_level2_dial15,3,49,100
food_level2_dial15,4,49,100
food_level2_dial15,5,63,100
food_level2_dial15,6,33,100
food_level3_dial33,1,30,100
food_level3_dial33,2,27,100
food_level3_dial33,3,26,100
food_level3_dial33,4,27,100
hobby_level3_dial13,1,24,100
hobby_level3_dial13,2,21,100
hobby_level3_dial13,3,47,100
hobby_level3_dial13,4,27,100
hobby_level3_dial13,5,17,100
hobby_level3_dial13,6,52,100
food_level1_dial16,1,46,100
food_level1_dial16,2,39,100
food_level1_dial16,3,34,100
food_level1_dial16,4,41,100
food_level1_dial16,5,30,100
food_level1_dial16,6,14,100
food_level2_dial16,1,31,100
food_level2_dial16,2,19,100
food_level2_dial16,3,61,100
food_level2_dial16,4,31,100
food_level2_dial16,5,39,100
food_level2_dial16,6,86,100
hobby_level3_dial5,1,35,100
hobby_level3_dial5,2,53,100
hobby_level3_dial5,3,28,100
hobby_level3_dial5,4,67,100
hobby_level3_dial5,5,41,100
hobby_level3_dial5,6,53,100
food_level3_dial34,1,47,100
food_level3_dial34,2,44,100
food_level3_dial34,3,41,100
food_level3_dial34,4,26,100
food_level3_dial34,5,59,100
food_level3_dial34,6,76,100
food_level1_dial17,1,61,100
food_level1_dial17,2,33,100
food_level1_dial17,3,44,100
food_level1_dial17,4,31,100
food_level1_dial17,5,25,100
food_level1_dial17,6,28,100
food_level2_dial17,1,91,100
food_level2_dial17,2,60,100
food_level2_dial17,3,47,100
food_level2_dial17,4,56,100
food_level2_dial17,5,51,100
food_level2_dial17,6,29,100
top25_dial54,1,19,100
top25_dial54,2,12,100
top25_dial54,3,15,100
top25_dial26,1,33,100
top25_dial26,2,57,100
top25_dial26,3,26,100
top25_dial26,4,33,100
top25_dial26,5,58,100
top25_dial26,6,45,100
food_level1_dial18,1,47,100
food_level1_dial18,2,47,100
food_level1_dial18,3,31,100
food_level1_dial18,4,44,100
food_level1_dial18,5,75,100
food_level1_dial18,6,78,100
hobby_level3_dial15,1,53,100
hobby_level3_dial15,2,76,100
hobby_level3_dial15,3,73,100
hobby_level3_dial15,4,53,100
hobby_level3_dial15,5,23,100
hobby_level3_dial15,6,64,100
food_level2_dial6,1,16,100
food_level2_dial6,2,10,100
