feature,success_mean,success_std,success_median,error_mean,error_std,error_median,all_mean,all_std,p_success_vs_error,statistic,cohens_d
AvgICTF,10.388785792052598,1.7582309666002982,10.288655313237365,10.068703863892184,1.7397453647393586,9.97886064604732,10.06053055937338,1.7416099125760012,0.003601722554800391,140722.0,0.18300721810376
AvgIDF,6.125702334486874,1.6360887292254562,5.95714648935493,5.800668313972557,1.6246925119321423,5.654850320155657,5.776774225698371,1.6470517912193912,0.001903889996817712,141637.0,0.19935838157730873
Clarity,2.0218942022157207,0.6866572000728438,1.86951640274098,1.8834635372444504,0.6389158352833669,1.692960592454209,1.8425331252242207,0.6033620670760981,0.000408629794191519,143666.0,0.2087262904221891
MaxIDF,12.344369300064956,3.378492581154849,12.689342541725662,11.842320276482047,3.6479820740266646,12.612267201812031,11.789794808705215,3.705139748570456,0.056581607390599545,135972.0,0.14279712128623742
MaxSCQ,77.71618394578947,5.858073263201115,79.80029826254082,77.10801632002261,6.354731606920027,79.52040177843405,76.86598726283957,6.474377702363961,0.20831170221791728,132915.0,0.09951282435477204
NQC,0.09765644353928407,0.04629488029131744,0.08756551367695514,0.0881534124244782,0.040963863754240666,0.0764695738190949,0.08554600948945536,0.04105315978391208,0.00029947425760783826,144050.0,0.21740733459551048
SClarity,8.607947729197043,1.7387828249928823,8.507099078650679,8.288762096806332,1.7223159096181095,8.138171938170617,8.273827867933282,1.7315345500915458,0.003524381416555051,140754.0,0.18443970797104203
SMV,1.8472293938347446,2.2757100188467527,1.0979727104319852,1.429445069618526,1.849090766853247,0.8039777049875318,1.386211462418575,2.2233095476933444,6.86249512702505e-05,145775.0,0.20149700771261497
WIG,1.7298862287194974,0.9866709773756788,1.4816213035583499,1.507332807465049,0.8531618410746227,1.2532961082458491,1.4588146244967497,0.8591314475456654,3.821774544009855e-05,146422.0,0.2412934055648529
nSigma,0.393026853200725,0.19896352524521613,0.3460409971724647,0.3486149193168886,0.17853269592575982,0.2993690778511707,0.3408758535594002,0.19107079618428807,0.0001786373780379578,144672.0,0.23495350981064947
