metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.645083932853717,0.6509433962264151,0.6906444906444906,0.6657680608358095,0.4,0.6,417
single_metric,0.6235011990407674,0.6142506142506142,0.6845691845691845,0.6447085890456588,0.4,0.6,417
