Model,AUC-ROC,Average Precision,Accuracy,F1 Score
No Penalty,0.6976066662913994,0.6735495289009731,0.6402226283435787,0.6358362061716977
L2,0.6972920830217967,0.6732266205447746,0.63831201196212,0.6340561438897294
LARS-Traps,0.6972920830217967,0.6732266205447746,0.63831201196212,0.6340561438897294
ElasticNet,0.69728962361289,0.6733148734996685,0.638893503904303,0.6343679031037093
L1,0.6972371746454173,0.673258515591927,0.6395580661239408,0.6353475081939659
BOLASSO,0.6972371746454173,0.673258515591927,0.6395580661239408,0.6353475081939659
LARS-CV,0.6972013059627098,0.673211402178349,0.6382289416846653,0.6338182123938452
RandomForest,0.6757752119050202,0.6413145930337146,0.6250207675693636,0.6106606865620149
