Model,AUC-ROC,Average Precision,Accuracy,F1 Score
BOLASSO,0.6925223617183427,0.7029555167298998,0.6243756243756243,0.5956989247311828
L1,0.6910583209658658,0.7035595091627475,0.6538461538461539,0.6904868244752121
L1,0.6910583209658658,0.7035595091627475,0.6313686313686314,0.6057692307692307
ElasticNet,0.69103224900726,0.7034156994811578,0.6308691308691309,0.605445808862787
L2,0.6909760940194939,0.7033357381024565,0.6303696303696303,0.6047008547008547
No Penalty,0.6909299667081144,0.7034509431544307,0.6303696303696303,0.6042780748663101
LARS-Traps,0.6881131924110546,0.6958135396539419,0.6273726273726273,0.6077812828601472
LARS-CV,0.6880760900084232,0.6955719221365253,0.6273726273726273,0.6090146750524109
RandomForest,0.5904115358389154,0.6076495188213324,0.5364635364635365,0.5021459227467812
