Group,Count,Mean_confidence,Std_confidence,Median_confidence,Uncertain_count,Uncertain_pct,High_confidence_wrong,Low_confidence_correct
A (Both correct),1023,0.41894577922813625,0.09179701278446149,0.41749549020593646,546,53.3724340175953,0,0
B (LogReg wins),125,0.48611569544758565,0.019238805707492725,0.4875973643539383,125,100.0,0,0
C (Both wrong),744,0.42598191042509326,0.064972190307142,0.4370383128994818,521,70.02688172043011,28,0
D (Base wins),110,0.49871450591312594,0.02843739396081414,0.5029668209371672,110,100.0,0,0
