feature,improved_mean,improved_std,improved_n,not_improved_mean,not_improved_std,not_improved_n,pvalue,cohens_d,significant
MaxSCQ,78.13729106717673,5.840243242236511,232,76.49219147762182,6.786333283846543,485,0.0012010994503793,0.25325749478307896,True
MaxIDF,12.280121371866825,3.4147191020070324,232,11.704591450525225,3.7623477584572553,485,0.0673629712768864,0.15752167120128302,False
AvgIDF,6.018832850769738,1.6380728831675004,232,5.770770340041143,1.6810478849161183,485,0.0479638628753953,0.14878232747978906,True
WIG,1.4283570915255055,0.7600223956891783,232,1.5554412342543456,0.9225953993627574,485,0.30283576124769107,-0.14550722396812812,False
SMV,1.2832794601059252,1.6814134454178886,232,1.5288293833151883,2.019154139811999,485,0.5134672046081723,-0.1281203211626751,False
SClarity,8.482439254573492,1.7753254470621442,232,8.278067377427053,1.7626324419171118,485,0.12312239225180766,0.1156771813764374,False
AvgICTF,10.256196784748246,1.7876557067830485,232,10.056351240167455,1.7739821657223795,485,0.11589352352832337,0.1123730760464289,False
nSigma,0.33684162324909894,0.16435298603004245,232,0.3560851525943147,0.19449231133372732,485,0.5814163689089789,-0.1038552421711625,False
NQC,0.0858252536071887,0.03776945327795151,232,0.08862959294390511,0.04373162521781583,485,0.7667974489204308,-0.06693211544256608,False
Clarity,1.8557735140359317,0.5994605327750893,232,1.8897398750286922,0.6539495077856049,485,0.6906838626094909,-0.0533344970958358,False
