feature,all_mean,all_std,weak_all_mean,weak_all_std,weak_improved_mean,weak_improved_std,weak_not_improved_mean,weak_not_improved_std,p_weak_vs_all,p_improved_vs_not,cohens_d_weak_vs_all,cohens_d_improved_vs_not
AvgICTF,10.06053055937338,1.7416099125760012,10.12101534943209,1.7796300142045791,10.256196784748246,1.7876557067830485,10.056351240167455,1.7739821657223795,0.35067223810840387,0.11589352352832337,0.0345290116821467,0.1123730760464289
AvgIDF,5.776774225698371,1.6470517912193912,5.851036033889169,1.6701626367454658,6.018832850769738,1.6380728831675004,5.770770340041143,1.6810478849161183,0.2726183674499546,0.0479638628753953,0.04492076022043641,0.14878232747978906
Clarity,1.8425331252242207,0.6033620670760981,1.8787493649166693,0.6366091224435133,1.8557735140359317,0.5994605327750893,1.8897398750286922,0.6539495077856049,0.2557832174203589,0.6906838626094909,0.05914799012916451,-0.0533344970958358
MaxIDF,11.789794808705215,3.705139748570456,11.890815916008142,3.6610318055620894,12.280121371866825,3.4147191020070324,11.704591450525225,3.7623477584572553,0.5931332696252438,0.0673629712768864,0.02735055294085741,0.15752167120128302
MaxSCQ,76.86598726283957,6.474377702363962,77.0244970630845,6.536751807699407,78.13729106717673,5.840243242236511,76.49219147762182,6.786333283846543,0.40995920996553636,0.0012010994503793,0.02442041289787572,0.25325749478307896
NQC,0.08554600948945533,0.04105315978391207,0.08772219165224794,0.04188957287243153,0.0858252536071887,0.03776945327795151,0.08862959294390511,0.04373162521781583,0.19016053201410887,0.7667974489204308,0.052723694826709494,-0.06693211544256608
SClarity,8.273827867933282,1.7315345500915458,8.344196074076946,1.7680997655771007,8.482439254573492,1.7753254470621442,8.278067377427053,1.7626324419171118,0.32001100499501045,0.12312239225180766,0.04041258311639315,0.1156771813764374
SMV,1.3862114624185753,2.2233095476933444,1.4493766884971282,1.9186653240164935,1.2832794601059252,1.6814134454178886,1.5288293833151883,2.019154139811999,0.08345238985071196,0.5134672046081723,0.029417125901047978,-0.1281203211626751
WIG,1.45881462449675,0.8591314475456654,1.5143205632458505,0.8748026023559387,1.4283570915255055,0.7600223956891783,1.5554412342543456,0.9225953993627574,0.07118637064416809,0.30283576124769107,0.06429590901619335,-0.14550722396812812
nSigma,0.3408758535594002,0.19107079618428807,0.34985851548400787,0.18538144717529495,0.33684162324909894,0.16435298603004245,0.3560851525943147,0.19449231133372732,0.0993403805870524,0.5814163689089789,0.0473798892140955,-0.1038552421711625
