feature,threshold,direction,correction_direction,cohens_d,pvalue,error_median,correct_median
WIG,1.1640233421325685,低い,answer,-0.08424401508281461,0.012631121103989494,1.1640233421325685,1.1886801147460937
SClarity,7.91513789322196,低い,answer,-0.04279967450798956,0.08517791651324792,7.91513789322196,8.091712576199273
Clarity,1.5988586653955768,低い,answer,-0.030061507151099252,0.09924275212924784,1.5988586653955768,1.640910052747525
