feature,coefficient
bert_logit_clarification,2.2198345006501214
roberta_logit_clarification,2.172218445643418
clarity,0.7743350159545629
n_sigma_50,0.4244630868284032
nqc,-0.09611252068972041
smv,-0.09157826684643357
wig,0.03115592479833699
