Model,AUC-ROC,Average Precision,Accuracy,F1 Score
ElasticNet,0.7146384019894909,0.722558259316409,0.6578421578421578,0.7093763258379295
L1,0.7145672054871446,0.7234668554538406,0.6578421578421578,0.7091295116772823
L1,0.7145672054871446,0.7234668554538406,0.6578421578421578,0.7091295116772823
No Penalty,0.7145672054871446,0.7212802527983718,0.6563436563436563,0.7092138630600169
BOLASSO,0.7145672054871446,0.7234668554538406,0.6578421578421578,0.7091295116772823
L2,0.7144348401588384,0.7224282368020868,0.6578421578421578,0.7101142615319509
LARS-Traps,0.7144348401588384,0.7224282368020868,0.6578421578421578,0.7101142615319509
LARS-CV,0.7138351851109062,0.7221657996649297,0.6558441558441559,0.7089142374313477
RandomForest,0.6045560747663551,0.631769754156291,0.5744255744255744,0.584390243902439
