prob_range,prob_mid,n_samples,error_rate,tp_rate,tn_rate,fp_rate,fn_rate
0.0-0.1,0.05,324,0.49691358024691357,0.0,0.5030864197530864,0.0,0.49691358024691357
0.1-0.2,0.15000000000000002,503,0.5328031809145128,0.0,0.4671968190854871,0.0,0.532803180914513
0.2-0.3,0.25,212,0.5377358490566038,0.0,0.46226415094339623,0.0,0.5377358490566038
0.3-0.4,0.35000000000000003,70,0.5571428571428572,0.0,0.44285714285714284,0.0,0.5571428571428572
0.4-0.5,0.45,25,0.56,0.0,0.44,0.0,0.56
0.5-0.6,0.55,21,0.38095238095238093,0.6190476190476191,0.0,0.38095238095238093,0.0
