qa_range,n_samples,error_rate,tp_rate,tn_rate,fp_rate,fn_rate
2 QA pairs,397,0.5239294710327456,0.027707808564231738,0.44836272040302266,0.015113350125944584,0.5088161209068011
3 QA pairs,188,0.4787234042553191,0.005319148936170213,0.5159574468085106,0.0,0.4787234042553192
4+ QA pairs,587,0.534923339011925,0.017035775127768313,0.44804088586030666,0.017035775127768313,0.5178875638841567
