prob_range,prob_mid,n_samples,error_rate,tp_rate,tn_rate,fp_rate,fn_rate
0.3-0.4,0.35000000000000003,96,0.42708333333333337,0.0,0.5729166666666666,0.0,0.4270833333333333
0.4-0.5,0.45,466,0.4957081545064378,0.0,0.5042918454935622,0.0,0.4957081545064378
0.5-0.6,0.55,511,0.4285714285714286,0.5714285714285714,0.0,0.42857142857142855,0.0
0.6-0.7,0.6500000000000001,93,0.4301075268817204,0.5698924731182796,0.0,0.43010752688172044,0.0
