extreme_range,extreme_low,extreme_high,n_samples,integrated_auc,integrated_ap,integrated_f1,integrated_accuracy,best_qpp_metric,best_qpp_auc,best_qpp_ap,best_qpp_f1,auc_improvement,ap_improvement,f1_improvement,integrated_better_auc,integrated_better_ap,integrated_better_f1
Few Extreme (0-3),0,3,222,0.5963938973647711,0.6343583167338969,0.6008230452674898,0.5630630630630631,nqc,0.5465448315248429,0.5499963998618346,0.3468208092485549,0.04984906583992821,0.08436191687206229,0.25400223601893485,True,True,True
Medium Extreme (3-7),3,7,630,0.5598888888888889,0.5577270060495023,0.5519379844961241,0.5412698412698412,wig,0.5419090909090909,0.5565148379380634,0.03508771929824561,0.017979797979797985,0.0012121681114388716,0.5168502651978785,True,True,True
Many Extreme (7-10),7,11,320,0.5618166856068028,0.582675710974994,0.5654761904761905,0.54375,maxidf,0.5391864884987656,0.5664570135684384,0.5584045584045584,0.022630197108037153,0.016218697406555682,0.0070716320716320835,True,True,True
