cluster,n_samples,integrated_pearson_r,integrated_pearson_p,integrated_spearman_rho,integrated_spearman_p,mean_integrated_score,std_integrated_score,mean_qa_pairs,std_qa_pairs,clarity_pearson,clarity_spearman,wig_pearson,wig_spearman,nqc_pearson,nqc_spearman,smv_pearson,smv_spearman,n_sigma_50_pearson,n_sigma_50_spearman,avgidf_pearson,avgidf_spearman,avgictf_pearson,avgictf_spearman,maxidf_pearson,maxidf_spearman,maxscq_pearson,maxscq_spearman,simplified_clarity_pearson,simplified_clarity_spearman
0,122,0.013797685690703089,0.8801029556925977,-0.1280510802764488,0.15984180361890224,0.49761964589823504,0.07356269528104592,4.327868852459017,4.73852266783301,-0.01747844995212527,-0.018518187786100416,0.043589459429242326,0.002338707615526714,0.03399803272846869,-0.010161752972727185,0.024880078310477477,-0.014196365525828826,-0.01956762657923573,0.05353383791856983,-0.03977548653098529,-0.061982590137819114,-0.04235657713694936,-0.06787038913480303,0.05653230954784083,-0.03663123257233127,-0.1656290307997709,-0.1447817633599205,-0.02500222223316629,-0.05440230536644086
1,520,0.0431058838809705,0.3265651642858995,0.07842661861149765,0.07396153218353592,0.5064679683628691,0.07214752287588165,4.194230769230769,2.7641326089011957,-0.029573904817623717,-0.02725611641634588,-0.060423519597264906,-0.10648273942170237,-0.10207065261663198,-0.09941749369809698,-0.07504517403599467,-0.11632702383755036,-0.07415850645038646,-0.10740842876248341,-0.035293751030727086,-0.05517258241967433,-0.010054200211354074,-0.041244982386780864,-0.07289865677515597,-0.04051532523285223,-0.02706626604004711,-0.03753835688593159,-0.009045937298863571,-0.017873757024935315
2,530,-0.02262415544979906,0.6032838788318561,-0.010873736820016881,0.8027818049263445,0.4943934375636934,0.07282563247983244,4.050943396226415,2.537292563080811,0.036769523768959915,0.07537568918527555,-0.08357910983340701,-0.05766879720425028,-0.13666235235228993,-0.10435087706397163,-0.09772981255624022,-0.06543224346777439,-0.07072325974556583,-0.040464022573728615,0.038466331914994774,0.030857131738106933,0.041959835830811726,0.03581789026847253,0.02063672135430655,0.013026494597177387,-0.006168266422897407,0.020834934640356458,0.05359438177847446,0.042082339123038146
