case_type,n_samples,integrated_auc,integrated_ap,integrated_f1,integrated_accuracy,best_qpp_metric,best_qpp_auc,best_qpp_ap,best_qpp_f1,auc_improvement,ap_improvement,f1_improvement,integrated_better_auc,integrated_better_ap,integrated_better_f1
Uncertain (0.4-0.6),977,0.5599978099914926,0.5884279401165904,0.5647969052224371,0.5394063459570113,wig,0.5186698225250799,0.5494024563327384,0.06486486486486487,0.04132798746641275,0.039025483783851955,0.4999320403575722,True,True,True
Certain (<0.4 or >=0.6),195,0.6137894736842106,0.5659533541694719,0.5684210526315789,0.5794871794871795,nqc,0.5641052631578948,0.5850536431771622,0.25806451612903225,0.049684210526315775,-0.01910028900769034,0.3103565365025467,True,False,True
