prob_range,prob_low,prob_high,n_samples,integrated_auc,integrated_ap,integrated_f1,integrated_accuracy,best_qpp_metric,best_qpp_auc,best_qpp_ap,best_qpp_f1,auc_improvement,ap_improvement,f1_improvement,integrated_better_auc,integrated_better_ap,integrated_better_f1
Low (0.0-0.4),0.0,0.4,100,0.6010748243075651,0.4993282098376286,0.0,0.59,simplified_clarity,0.5427862753203803,0.47286278717231167,0.34285714285714286,0.05828854898718483,0.02646542266531693,-0.34285714285714286,True,True,False
Medium (0.4-0.6),0.4,0.6,977,0.5599978099914926,0.5884279401165904,0.5647969052224371,0.5394063459570113,wig,0.5186698225250799,0.5494024563327384,0.06486486486486487,0.04132798746641275,0.039025483783851955,0.4999320403575722,True,True,True
High (0.6-1.0),0.6,1.0,95,0.537940379403794,0.5845242772534993,0.7248322147651006,0.5684210526315789,nqc,0.6214995483288166,0.7021616307791848,0.21875,-0.08355916892502258,-0.1176373535256855,0.5060822147651006,False,False,True
