threshold,n_integrated_wins,n_qpp_wins,integrated_wins_ambiguity_rate,qpp_wins_ambiguity_rate,ambiguity_rate_difference
0.3,545,494,0.9963302752293578,0.0,0.9963302752293578
0.4,544,471,0.9981617647058824,0.004246284501061571,0.9939154802048208
0.5,342,262,0.9707602339181286,0.030534351145038167,0.9402258827730904
0.6,60,48,0.8666666666666667,0.14583333333333334,0.7208333333333333
0.7,6,6,0.16666666666666666,0.8333333333333334,-0.6666666666666667
