conv_id,turn_id,mean_similarity,sum_similarity,num_similarity_pairs,num_retrieved_documents
food_level3_dial26,1,0.7384625673294067,3655.3896484375,4950,100
food_level3_dial26,2,0.7547712922096252,3736.117919921875,4950,100
food_level3_dial26,3,0.7432234287261963,3678.9560546875,4950,100
food_level3_dial26,4,0.6912168264389038,3421.5234375,4950,100
food_level3_dial26,5,0.7278401255607605,3602.80859375,4950,100
food_level3_dial26,6,0.7120404243469238,3524.60009765625,4950,100
hobby_level1_dial16,1,0.7503369450569153,3714.16796875,4950,100
hobby_level1_dial16,2,0.7765160202980042,3843.75439453125,4950,100
hobby_level1_dial16,3,0.7912704944610596,3916.7890625,4950,100
hobby_level1_dial16,4,0.7694001793861389,3808.53076171875,4950,100
hobby_level1_dial16,5,0.7533634901046753,3729.1494140625,4950,100
hobby_level1_dial16,6,0.7478693127632141,3701.953125,4950,100
top25_dial5,1,0.7001570463180542,3465.77734375,4950,100
top25_dial5,2,0.769950270652771,3811.25390625,4950,100
top25_dial5,3,0.7807674407958984,3864.798828125,4950,100
food_level2_dial36,1,0.6878586411476135,3404.900390625,4950,100
food_level2_dial36,2,0.710170328617096,3515.34326171875,4950,100
food_level2_dial36,3,0.7291105389595032,3609.09716796875,4950,100
food_level2_dial36,4,0.7235218286514282,3581.43310546875,4950,100
food_level2_dial36,5,0.7607360482215881,3765.6435546875,4950,100
food_level3_dial27,1,0.74504554271698,3687.975341796875,4950,100
food_level3_dial27,2,0.7318477034568787,3622.64599609375,4950,100
food_level3_dial27,3,0.677588164806366,3354.061279296875,4950,100
food_level3_dial27,4,0.7706822156906128,3814.876953125,4950,100
food_level3_dial27,5,0.7426985502243042,3676.35791015625,4950,100
food_level3_dial27,6,0.7365572452545166,3645.95849609375,4950,100
food_level2_dial37,1,0.7218475937843323,3573.1455078125,4950,100
food_level2_dial37,2,0.7579806447029114,3752.004150390625,4950,100
food_level2_dial37,3,0.7765827178955078,3844.08447265625,4950,100
food_level2_dial37,4,0.7601339817047119,3762.663330078125,4950,100
food_level2_dial37,5,0.7520596385002136,3722.695068359375,4950,100
food_level2_dial37,6,0.7381386160850525,3653.7861328125,4950,100
food_level2_dial12,1,0.7743949890136719,3833.255126953125,4950,100
food_level2_dial12,2,0.7850329279899597,3885.9130859375,4950,100
food_level2_dial12,3,0.77933269739151,3857.69677734375,4950,100
food_level2_dial12,4,0.788846492767334,3904.7900390625,4950,100
food_level2_dial12,5,0.7798107266426086,3860.06298828125,4950,100
food_level2_dial12,6,0.7656506299972534,3789.970703125,4950,100
hobby_level2_dial2,1,0.7413738965988159,3669.80078125,4950,100
hobby_level2_dial2,2,0.7497147917747498,3711.088134765625,4950,100
hobby_level2_dial2,3,0.7528349161148071,3726.532958984375,4950,100
hobby_level2_dial2,4,0.7567898631095886,3746.10986328125,4950,100
hobby_level2_dial2,5,0.7522059679031372,3723.41943359375,4950,100
hobby_level2_dial2,6,0.734408438205719,3635.32177734375,4950,100
hobby_level3_dial33,1,0.7138677835464478,3533.6455078125,4950,100
hobby_level3_dial33,2,0.7591904401779175,3757.99267578125,4950,100
