conv_id,turn_id,smv,score_mean,score_std,score_variance,num_retrieved_documents
food_level3_dial26,1,1.2498307372246837,72.52977493,1.1179582895728641,1.2498307372246837,100
food_level3_dial26,2,1.1057576787775063,73.64588344,1.0515501313667868,1.1057576787775063,100
food_level3_dial26,3,0.6744225181695421,72.13388091,0.8212323168078215,0.6744225181695421,100
food_level3_dial26,4,1.8917455041726148,70.15399894000001,1.375407395709582,1.8917455041726148,100
food_level3_dial26,5,0.7155007160299269,75.09662804999999,0.8458727540416034,0.7155007160299269,100
food_level3_dial26,6,1.5183494937978623,72.93830291,1.2322132501307808,1.5183494937978623,100
hobby_level1_dial16,1,0.7962850669885297,74.88879610000001,0.8923480638117224,0.7962850669885297,100
hobby_level1_dial16,2,1.469517967653467,78.24465045,1.2122367622100343,1.469517967653467,100
hobby_level1_dial16,3,0.2791478981927676,79.42247182000001,0.528344488182443,0.2791478981927676,100
hobby_level1_dial16,4,2.6713879087078505,78.31915690000001,1.6344381018282248,2.6713879087078505,100
hobby_level1_dial16,5,1.3884388504444853,72.43744475000001,1.1783203513665057,1.3884388504444853,100
hobby_level1_dial16,6,1.0218639244547607,70.87707832999999,1.0108728527637691,1.0218639244547607,100
top25_dial5,1,2.835796987209197,75.0820082,1.6839824782963737,2.835796987209197,100
top25_dial5,2,4.435765156544368,71.96698195,2.106125626961594,4.435765156544368,100
top25_dial5,3,5.22441077751206,74.1169382,2.285697000372547,5.22441077751206,100
food_level2_dial36,1,2.0073966944700414,69.84692486,1.4168262753316094,2.0073966944700414,100
food_level2_dial36,2,2.345234752390244,70.56402508999999,1.531415930565646,2.345234752390244,100
food_level2_dial36,3,1.8852944858579894,68.50059353,1.3730602630103275,1.8852944858579894,100
food_level2_dial36,4,2.312020375932469,73.59301205,1.5205329249748158,2.312020375932469,100
food_level2_dial36,5,2.92122265199466,79.93754983,1.7091584631024297,2.92122265199466,100
food_level3_dial27,1,2.1785480305821427,75.23833476,1.475990525234543,2.1785480305821427,100
food_level3_dial27,2,1.1947992635184257,67.89082929,1.093068736868101,1.1947992635184257,100
food_level3_dial27,3,1.3195166580945161,69.87086989,1.1487021624836076,1.3195166580945161,100
food_level3_dial27,4,2.9834429521175685,75.92972088,1.7272645865985814,2.9834429521175685,100
food_level3_dial27,5,3.275262562438552,78.20740749000001,1.8097686488716043,3.275262562438552,100
food_level3_dial27,6,1.563604992629694,77.45397281,1.2504419189349396,1.563604992629694,100
food_level2_dial37,1,2.4263391993727232,72.61344306999999,1.5576710818952515,2.4263391993727232,100
food_level2_dial37,2,1.2451803526663878,71.84763985000001,1.1158764952567053,1.2451803526663878,100
food_level2_dial37,3,1.9299357803804662,75.47977356,1.3892212856058843,1.9299357803804662,100
food_level2_dial37,4,1.4903578614396877,79.02375205,1.220802138530109,1.4903578614396877,100
food_level2_dial37,5,2.811369794572788,82.72473618,1.676713987110738,2.811369794572788,100
food_level2_dial37,6,1.4177307937223174,74.81628784,1.190685010287069,1.4177307937223174,100
food_level2_dial12,1,1.921120796313651,72.6657095,1.3860450195840144,1.921120796313651,100
food_level2_dial12,2,1.4900830647085679,79.60962247999998,1.2206895857295448,1.4900830647085679,100
food_level2_dial12,3,0.986314062332177,74.23842127,0.9931334564559674,0.986314062332177,100
food_level2_dial12,4,1.063556220527887,81.30039178999999,1.0312886213509227,1.063556220527887,100
food_level2_dial12,5,1.988126722950355,76.86894816,1.4100094761916868,1.988126722950355,100
food_level2_dial12,6,3.946706569193474,74.55928383999999,1.9866319662165597,3.946706569193474,100
hobby_level2_dial2,1,1.489030645324888,73.7588307,1.220258433826576,1.489030645324888,100
hobby_level2_dial2,2,0.45403858215503623,73.35811561999999,0.6738238509840953,0.45403858215503623,100
hobby_level2_dial2,3,1.610852343149247,76.35986025,1.2691935798566139,1.610852343149247,100
hobby_level2_dial2,4,7.167231339249226,81.26391679,2.677168530229135,7.167231339249226,100
hobby_level2_dial2,5,2.117141188224581,77.22232400000001,1.4550399266771277,2.117141188224581,100
hobby_level2_dial2,6,0.9848915576380024,80.45176976,0.9924170280874882,0.9848915576380024,100
hobby_level3_dial33,1,0.6363896126545341,76.24113287,0.7977403165532843,0.6363896126545341,100
hobby_level3_dial33,2,1.6208787953554624,74.68648409,1.2731373827499775,1.6208787953554624,100
hobby_level3_dial33,3,1.0962750474025065,73.52375482000001,1.0470315407868602,1.0962750474025065,100
hobby_level3_dial33,4,1.0973660215752477,71.29749785000001,1.047552395622886,1.0973660215752477,100
hobby_level3_dial33,5,1.1584636719469894,77.27179329999998,1.0763195027253707,1.1584636719469894,100
hobby_level3_dial33,6,0.24508009648152485,73.24497034000001,0.4950556498834498,0.24508009648152485,100
food_level1_dial1,1,0.9510427599205908,75.31521864,0.9752142123249593,0.9510427599205908,100
food_level1_dial1,2,3.0805250580483676,77.05534775,1.7551424608983648,3.0805250580483676,100
hobby_level1_dial17,1,1.7308321300290472,78.76857688000001,1.315610934140123,1.7308321300290472,100
hobby_level1_dial17,2,1.116423658867208,75.84770585,1.0566095110622504,1.116423658867208,100
hobby_level1_dial17,3,1.2763091962681252,74.67731388,1.1297385521739645,1.2763091962681252,100
hobby_level1_dial17,4,1.9499634739324394,70.76869886,1.3964109258855144,1.9499634739324394,100
hobby_level1_dial17,5,1.671951655924403,70.68941082999999,1.2930396961904933,1.671951655924403,100
hobby_level1_dial17,6,6.633511027310922,73.71636919999999,2.5755603326870293,6.633511027310922,100
top25_dial23,1,0.6772984418321926,80.10725626,0.8229814346825769,0.6772984418321926,100
top25_dial23,2,0.7172784287532038,74.47902506999999,0.8469229178344413,0.7172784287532038,100
top25_dial23,3,0.9061582641722137,77.28049062999999,0.9519234549963635,0.9061582641722137,100
top25_dial23,4,1.1769710582443504,74.95865152,1.0848829698379223,1.1769710582443504,100
top25_dial23,5,1.3881861882886182,79.22637968000001,1.1782131336428983,1.3881861882886182,100
top25_dial23,6,0.9096094635949202,78.26718740000003,0.9537344827544615,0.9096094635949202,100
