conv_id,turn_id,wig,num_retrieved_documents,topk_mean_score,bg_score,k,bg_count
food_level3_dial26,1,1.8318603399999933,100,73.4457051,71.61384476,50,50
food_level3_dial26,2,1.5017632799999974,100,74.39676508000001,72.8950018,50,50
food_level3_dial26,3,1.3243105799999992,100,72.7960362,71.47172562,50,50
food_level3_dial26,4,1.5386091200000143,100,70.9233035,69.38469437999998,50,50
food_level3_dial26,5,1.095580060000009,100,75.64441808,74.54883801999999,50,50
food_level3_dial26,6,1.5107144599999978,100,73.69366014,72.18294568,50,50
hobby_level1_dial16,1,1.2487694800000029,100,75.51318084,74.26441136,50,50
hobby_level1_dial16,2,1.4387335799999863,100,78.96401724,77.52528366000001,50,50
hobby_level1_dial16,3,0.875026559999992,100,79.85998510000002,78.98495854000001,50,50
hobby_level1_dial16,4,2.5231748400000025,100,79.58074432,77.05756948,50,50
hobby_level1_dial16,5,1.4454363000000074,100,73.16016289999999,71.71472659999999,50,50
hobby_level1_dial16,6,1.3216235399999905,100,71.5378901,70.21626656000001,50,50
top25_dial5,1,2.022970639999986,100,76.09349352,74.07052288000001,50,50
top25_dial5,2,2.9231491399999925,100,73.42855652,70.50540738000001,50,50
top25_dial5,3,3.3977181999999995,100,75.8157973,72.4180791,50,50
food_level2_dial36,1,1.8957409199999886,100,70.79479532,68.89905440000001,50,50
food_level2_dial36,2,1.8341368199999988,100,71.4810935,69.64695668,50,50
food_level2_dial36,3,2.1489439800000034,100,69.57506552,67.42612154,50,50
food_level2_dial36,4,2.084088100000003,100,74.6350561,72.550968,50,50
food_level2_dial36,5,2.092604900000005,100,80.98385228000001,78.89124738,50,50
food_level3_dial27,1,2.2399134400000182,100,76.35829148,74.11837803999998,50,50
food_level3_dial27,2,1.4971741399999994,100,68.63941636,67.14224222,50,50
food_level3_dial27,3,1.7790402200000113,100,70.76039,68.98134977999999,50,50
food_level3_dial27,4,1.8718812399999922,100,76.86566150000002,74.99378026000001,50,50
food_level3_dial27,5,2.6997611400000014,100,79.55728805999999,76.85752692,50,50
food_level3_dial27,6,1.860892100000004,100,78.38441886,76.52352676,50,50
food_level2_dial37,1,2.536274460000004,100,73.88158030000001,71.34530584,50,50
food_level2_dial37,2,1.6219847800000031,100,72.65863224,71.03664746,50,50
food_level2_dial37,3,2.179345960000006,100,76.56944654,74.39010058,50,50
food_level2_dial37,4,1.670573179999996,100,79.85903864,78.18846546,50,50
food_level2_dial37,5,2.5294909199999918,100,83.98948164,81.45999072000001,50,50
food_level2_dial37,6,1.684409560000003,100,75.65849262,73.97408306,50,50
food_level2_dial12,1,1.8062567199999922,100,73.56883786000002,71.76258114000001,50,50
food_level2_dial12,2,1.7153668,100,80.46730588,78.75193908,50,50
food_level2_dial12,3,1.3983987399999986,100,74.93762064,73.5392219,50,50
food_level2_dial12,4,1.5939670199999978,100,82.09737529999998,80.50340828,50,50
food_level2_dial12,5,2.050777640000001,100,77.89433698,75.84355934,50,50
food_level2_dial12,6,3.154043719999996,100,76.1363057,72.98226198,50,50
hobby_level2_dial2,1,1.7538852800000058,100,74.63577334,72.88188806,50,50
hobby_level2_dial2,2,1.092145199999996,100,73.90418822,72.81204302,50,50
hobby_level2_dial2,3,1.8003164200000032,100,77.26001846,75.45970204,50,50
hobby_level2_dial2,4,3.994279300000012,100,83.26105643999999,79.26677713999999,50,50
hobby_level2_dial2,5,2.0881960799999955,100,78.26642204,76.17822596,50,50
hobby_level2_dial2,6,1.5652808800000038,100,81.2344102,79.66912932,50,50
hobby_level3_dial33,1,1.129081659999997,100,76.8056737,75.67659204,50,50
hobby_level3_dial33,2,1.8502030599999986,100,75.61158562,73.76138256,50,50
hobby_level3_dial33,3,1.3752596400000041,100,74.21138464,72.836125,50,50
hobby_level3_dial33,4,1.3588600199999907,100,71.97692785999999,70.61806784000001,50,50
hobby_level3_dial33,5,1.5308197200000064,100,78.03720315999999,76.50638344,50,50
hobby_level3_dial33,6,0.7267502799999943,100,73.60834548000001,72.8815952,50,50
food_level1_dial1,1,1.4432695999999925,100,76.03685344,74.59358384000001,50,50
food_level1_dial1,2,2.8219317000000017,100,78.46631359999999,75.6443819,50,50
hobby_level1_dial17,1,2.122895239999998,100,79.8300245,77.70712926,50,50
hobby_level1_dial17,2,1.516368820000001,100,76.60589026,75.08952144,50,50
hobby_level1_dial17,3,1.412408120000005,100,75.38351793999999,73.97110982,50,50
hobby_level1_dial17,4,1.6378851599999973,100,71.58764144000001,69.94975628,50,50
hobby_level1_dial17,5,1.5663996600000012,100,71.47261066,69.906211,50,50
hobby_level1_dial17,6,3.763975600000003,100,75.59835700000001,71.8343814,50,50
top25_dial23,1,1.1570962399999936,100,80.68580438,79.52870814,50,50
top25_dial23,2,1.1707192600000078,100,75.0643847,73.89366543999999,50,50
top25_dial23,3,1.434530740000005,100,77.99775600000001,76.56322526,50,50
top25_dial23,4,1.3831222000000116,100,75.65021262,74.26709041999999,50,50
top25_dial23,5,1.552108760000012,100,80.00243406,78.45032529999999,50,50
top25_dial23,6,1.398036760000001,100,78.96620578,77.56816902,50,50
food_level3_dial28,1,1.2507266399999974,100,69.78754214,68.5368155,50,50
food_level3_dial28,2,1.9092421199999874,100,72.51925223999999,70.61001012000001,50,50
food_level3_dial28,3,1.7116281199999934,100,75.55546731999999,73.8438392,50,50
food_level3_dial28,4,1.457365700000007,100,72.03517561999999,70.57780991999999,50,50
food_level3_dial28,5,1.4102882599999997,100,79.15030497999999,77.74001672,50,50
food_level3_dial28,6,1.7636612399999938,100,81.59357992,79.82991868,50,50
hobby_level2_dial20,1,4.699203839999999,100,76.65780328000001,71.95859944,50,50
hobby_level2_dial20,2,1.4449250400000073,100,72.43212768,70.98720263999999,50,50
hobby_level2_dial20,3,2.11225730000001,100,73.14099032,71.02873301999999,50,50
hobby_level2_dial20,4,1.357892459999983,100,76.14745652,74.78956406000002,50,50
hobby_level2_dial20,5,1.3495081200000003,100,72.68877092,71.3392628,50,50
hobby_level2_dial20,6,1.982829559999992,100,74.92150462,72.93867506000001,50,50
top25_dial50,1,0.9126156400000105,100,72.13103198,71.21841633999999,50,50
top25_dial50,2,1.560023280000006,100,72.31247239999999,70.75244912,50,50
top25_dial50,3,1.4529655800000052,100,76.7910951,75.33812952,50,50
top25_dial50,4,1.0936037800000011,100,73.50221844000001,72.40861466,50,50
top25_dial50,5,1.261867880000006,100,77.97940007999999,76.7175322,50,50
top25_dial50,6,1.3370101199999953,100,75.00637296,73.66936284,50,50
hobby_level3_dial34,1,2.877338659999989,100,72.15404577999999,69.27670712000001,50,50
hobby_level3_dial34,2,1.7339301199999972,100,70.29953354,68.56560342,50,50
hobby_level3_dial34,3,1.575473019999993,100,72.44205518,70.86658216000001,50,50
hobby_level3_dial34,4,1.3367237999999972,100,72.85314816,71.51642436,50,50
hobby_level3_dial34,5,1.4521175000000162,100,73.83246188,72.38034437999998,50,50
hobby_level3_dial34,6,2.1911755999999993,100,79.5402185,77.3490429,50,50
food_level1_dial10,1,2.6216015600000127,100,78.05075012,75.42914855999999,50,50
food_level1_dial10,2,2.2637350599999926,100,72.39707116,70.13333610000001,50,50
food_level1_dial10,3,1.7766289000000024,100,72.09948621999999,70.32285732,50,50
food_level1_dial10,4,1.7239051800000005,100,72.97019618,71.246291,50,50
food_level1_dial10,5,1.142354039999998,100,74.11470192,72.97234788,50,50
food_level1_dial10,6,1.6405210400000074,100,75.979736,74.33921495999999,50,50
food_level2_dial38,1,2.1824114600000035,100,78.44628196,76.2638705,50,50
food_level2_dial38,2,1.3575549999999998,100,75.78843205999999,74.43087706,50,50
food_level2_dial38,3,2.3379496000000004,100,78.25081672000002,75.91286712,50,50
food_level2_dial38,4,2.246072080000003,100,74.71444952,72.46837744,50,50
food_level2_dial38,5,1.7507615600000002,100,78.71597174,76.96521018,50,50
food_level2_dial38,6,1.6155977800000114,100,79.91447973999999,78.29888195999999,50,50
food_level2_dial38,7,1.6139124199999972,100,73.91497684000001,72.30106442,50,50
top25_dial24,1,1.5463254200000065,100,68.61831638000001,67.07199096,50,50
top25_dial24,2,1.121023279999994,100,70.74392744000001,69.62290416,50,50
top25_dial24,3,1.8473717799999974,100,74.97028191999999,73.12291014,50,50
top25_dial24,4,3.4587537199999936,100,75.10909586000001,71.65034214,50,50
top25_dial24,5,1.183395939999994,100,73.8906891,72.70729316,50,50
top25_dial24,6,1.2607381600000036,100,76.89001766,75.6292795,50,50
food_level3_dial29,1,3.278155079999997,100,71.14834864,67.87019356,50,50
food_level3_dial29,2,1.9452578400000047,100,69.65269719999999,67.70743936,50,50
food_level3_dial29,3,3.0760012200000006,100,73.7609081,70.68490688,50,50
food_level3_dial29,4,1.9365055800000033,100,69.55064048,67.6141349,50,50
food_level3_dial29,5,2.5060210000000063,100,79.5533892,77.0473682,50,50
food_level3_dial29,6,2.044063859999987,100,78.93934607999999,76.89528222000001,50,50
hobby_level2_dial9,1,2.3181653800000053,100,74.19769442,71.87952904,50,50
hobby_level2_dial9,2,1.7826022399999983,100,69.68239282,67.89979058,50,50
hobby_level2_dial9,3,2.367536800000002,100,74.40291004000001,72.03537324,50,50
hobby_level2_dial9,4,1.111994700000005,100,74.94779113999999,73.83579644,50,50
hobby_level2_dial9,5,1.8434030200000122,100,76.20070034,74.35729731999999,50,50
top25_dial51,1,0.6326027399999902,100,69.67458738,69.04198464000001,50,50
top25_dial51,2,1.2368323399999965,100,67.56399694,66.3271646,50,50
top25_dial51,3,1.1785104800000006,100,74.8822062,73.70369572,50,50
top25_dial51,4,1.3936420999999939,100,78.22486078000001,76.83121868,50,50
top25_dial51,5,1.3324902199999982,100,75.05183502,73.7193448,50,50
top25_dial51,6,1.3238481599999992,100,73.6767117,72.35286354,50,50
hobby_level3_dial35,1,2.571652540000006,100,80.35044608,77.77879354,50,50
hobby_level3_dial35,2,1.3267800799999991,100,67.72566654,66.39888646,50,50
hobby_level3_dial35,3,1.157719099999992,100,76.61913931999999,75.46142022000001,50,50
hobby_level3_dial35,4,1.20811527999999,100,76.39158730000001,75.18347202000001,50,50
hobby_level3_dial35,5,1.314706059999992,100,77.56136058,76.24665452,50,50
hobby_level3_dial35,6,1.9022047399999977,100,80.16509083999999,78.2628861,50,50
hobby_level3_dial35,7,1.197083180000022,100,73.58317882,72.38609563999998,50,50
food_level1_dial11,1,1.2622908800000063,100,75.96204722,74.69975634,50,50
food_level1_dial11,2,2.6784481999999947,100,75.67804619999998,72.999598,50,50
food_level1_dial11,3,1.8084367599999995,100,75.95658022,74.14814346,50,50
food_level1_dial11,4,1.8299432599999965,100,80.6998718,78.86992854,50,50
food_level1_dial11,5,2.2036217000000033,100,76.25408302000001,74.05046132,50,50
food_level1_dial11,6,1.8367925199999948,100,73.92059846000001,72.08380594,50,50
hobby_level2_dial21,1,1.7671906600000085,100,76.35229746,74.58510679999999,50,50
hobby_level2_dial21,2,1.8672995600000102,100,73.45634686,71.58904729999999,50,50
hobby_level2_dial21,3,2.221573960000005,100,79.36923834,77.14766438,50,50
hobby_level2_dial21,4,3.0473229599999967,100,80.56541331999999,77.51809036,50,50
food_level2_dial4,1,2.5288816199999906,100,71.48800501999999,68.95912340000001,50,50
food_level2_dial4,2,2.9890835399999993,100,75.95045988,72.96137634,50,50
food_level2_dial4,3,3.0548162599999955,100,75.79246818,72.73765192,50,50
food_level2_dial4,4,2.4191980199999943,100,78.77880649999999,76.35960848,50,50
food_level2_dial4,5,1.6990105200000027,100,72.22722648,70.52821596,50,50
food_level2_dial4,6,2.947013060000003,100,79.41010276,76.4630897,50,50
hobby_level3_dial1,1,1.352017399999998,100,67.29168718,65.93966978,50,50
hobby_level3_dial1,2,0.9180627600000093,100,67.09201448,66.17395171999999,50,50
hobby_level3_dial1,3,2.4648349200000084,100,70.84087496000001,68.37604003999999,50,50
hobby_level3_dial1,4,1.7978061800000094,100,73.45310148,71.65529529999999,50,50
hobby_level3_dial1,5,1.5013458600000116,100,74.14312042,72.64177455999999,50,50
hobby_level3_dial1,6,0.6072647799999964,100,73.51103300000001,72.90376822,50,50
hobby_level1_dial18,1,1.5110416200000034,100,73.27997762,71.768936,50,50
hobby_level1_dial18,2,2.8396758999999965,100,74.08744402,71.24776812,50,50
hobby_level1_dial18,3,1.3843865399999964,100,73.90654263999998,72.5221561,50,50
hobby_level1_dial18,4,1.8005204200000038,100,71.68903952,69.8885191,50,50
hobby_level1_dial18,5,1.110535060000006,100,72.65653233999998,71.54599728,50,50
hobby_level1_dial18,6,0.8933820399999942,100,71.3355361,70.44215406000001,50,50
food_level1_dial12,1,1.851585859999999,100,70.93522688,69.08364102,50,50
food_level1_dial12,2,2.335471920000018,100,70.53070055999999,68.19522863999998,50,50
food_level1_dial12,3,2.682951199999999,100,73.44906726,70.76611606,50,50
food_level1_dial12,4,2.1362155999999977,100,75.90016296,73.76394736,50,50
food_level1_dial12,5,2.0387581800000087,100,73.36189452,71.32313633999999,50,50
food_level1_dial12,6,2.347569300000003,100,78.68313664,76.33556734,50,50
top25_dial52,1,1.0568880200000015,100,74.72706884,73.67018082,50,50
