Model,AUC-ROC,Average Precision,Accuracy,F1 Score
No Penalty,0.6153838954465646,0.23381254118434386,0.5922879177377892,0.322801024765158
LARS-CV,0.6110206388960642,0.23605118143952894,0.5974293059125964,0.3278969957081545
LARS-Traps,0.609888176342202,0.2353455235742083,0.5948586118251928,0.3264957264957265
L2,0.609888176342202,0.2353455235742083,0.5948586118251928,0.3264957264957265
ElasticNet,0.6097459165833699,0.23522049443240511,0.596401028277635,0.3296327924850555
L1,0.6073518345893372,0.23313458652501462,0.5974293059125964,0.33361702127659576
BOLASSO,0.6070785461052648,0.2331402190937889,0.5969151670951157,0.3333333333333333
RandomForest,0.5807792091106145,0.2061286546449485,0.8215938303341902,0.033426183844011144
