conv_id,turn_id,maxscq,num_terms
-4469503464110108318,1,78.07143871930536,6
4790842463458965203,1,82.38092279445229,7
-6631915997977101143,1,78.6964333273987,5
-3098213414945179817,1,81.69481119955333,5
-927805218867163489,1,72.3025454160382,6
-8765341210106443690,1,80.34903518796186,6
-8984315366060644345,1,79.40569792925027,6
-3359151041540098032,1,82.23487182349739,7
6601536662148726350,1,81.81111029348317,7
-4757397641844293607,1,53.4683272375889,5
-6857918454805495301,1,77.99235809128149,5
-4132174036373265970,1,80.89658005478337,5
1561260788294720798,1,66.06825989797842,7
-3609553841261159056,1,78.37342256028528,4
128788970421661020,1,67.26728819334008,6
4722519916015127979,1,74.09689061660535,7
-1911980845281550523,1,80.9234569734617,8
-8524801800420428358,1,64.0318021235958,9
4776000106366522865,1,75.51533796945446,6
4723481094198751540,1,77.27763974752786,7
-7461719336882424985,1,76.47465105839524,7
6629199459601104475,1,81.79427486017781,5
-1688500492894023725,1,67.85513507720448,6
-4920697783415402962,1,72.59906882833229,5
-4950316745090894056,1,79.2495031663168,6
-8652199953083038138,1,82.94011297748973,8
7030758716024791080,1,70.10088212741357,7
1237920926774398276,1,82.22908962030903,8
4737873499269724327,1,75.55682359164727,5
4123548744340087331,1,82.16499677407147,6
-3430387669519489370,1,81.99316441138859,7
6389345907245133102,1,65.57161832072428,7
7063169977317265636,1,68.81872936128168,6
-1672733591597131629,1,81.70376460038999,6
3459755935653104243,1,81.85402338193954,7
-7563488770313519534,1,78.41229527762442,6
3630976503357786326,1,69.41377666771322,5
5998037098651415370,1,65.02220405747138,8
7208068189874944399,1,79.49000532979288,7
-3713688239328074547,1,81.99316441138859,6
2034739379280412436,1,78.41229527762442,6
8651809831547260844,1,81.07346920464036,7
1533477128984345682,1,82.72494637263915,8
-5492391637682725131,1,80.07394603628052,7
-2558199766533138150,1,79.9481788657401,12
-6363994615218497826,1,80.89658005478337,7
3855307908076704970,1,79.17727735274133,5
4063304367414770942,1,61.421281374485666,6
-4110639543763413474,1,82.83726860062569,7
5150378125952226530,1,73.97351660632768,8
-229557364858904345,1,64.21331020431604,5
-6875166619428307308,1,73.55069403890204,11
5693531505008967478,1,82.66628466946881,6
7754002205765507756,1,81.45182995747905,5
-3944861237014469052,1,76.60452474826715,9
-2590664031903851316,1,77.76860139829755,8
3204171409264914923,1,68.8363463181582,6
3240942651859718397,1,73.58996258365966,6
2094392886389474592,1,80.29520607865535,5
4113432615092381478,1,79.24256439686916,5
-1617571755505770769,1,83.74903847766028,7
-5968852733411945019,1,62.42309211156034,6
9118807424034544000,1,64.78834212392634,5
6915912596627348551,1,75.69541646315837,7
1332897475571730747,1,73.32196859656126,5
-4283713808554560002,1,81.99316441138859,5
1109919554091311092,1,61.421281374485666,5
8505647719348789352,1,77.30789383611328,5
-8086186598590428328,1,82.22908962030903,6
2217144977440365678,1,84.05476294626318,7
3141501970999254639,1,80.52574745868112,7
6267368935580291991,1,72.83243219023569,7
2375410666129136218,1,82.6809055691288,5
-1120514028652364195,1,80.89474996356078,5
369553729358573631,1,81.91258428210419,7
-3521200059945079578,1,74.89368272504964,6
-228017844504433803,1,82.68295203706904,5
-6567021105969776914,1,61.13576861778196,7
3191215928530494096,1,67.79984158344259,7
-2071940157427414850,1,83.71033845669197,9
-3800524559144424177,1,80.49415537319854,5
-6839117089970381436,1,81.94214139732425,5
-4490620988150231901,1,66.78324844172069,7
1022217780810569079,1,70.52210606167881,5
-862554052027960093,1,75.30473042711897,6
