error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.45474227543122053,0.42900743909121963,0.07438812207079223,0.12128112779599003,-0.0257348363400009,219
False Negative,0.5140038701880041,0.539237549980271,0.06963385111567556,0.13175569056903094,-0.025233679792266872,173
