feature,fn_mean,fn_std,fn_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_vs_all_pvalue,fn_vs_tp_pvalue,fn_vs_tn_pvalue,fn_vs_fn_pvalue,fn_vs_all_cohens_d,fn_vs_tp_cohens_d,fn_vs_tn_cohens_d,fn_vs_fn_cohens_d,fn_specific,fn_vs_others_significant
AvgICTF,10.388785792052598,1.7755919691941324,8217,10.06053055937338,1.7416099125760012,2002,9.70560007731596,10.445669222441479,6.696433009119759e-05,2.901127410588266e-15,0.004451478961820515,0.05005561489790405,0.09195449296092183,0.29256896278730987,-0.12557544385924757,-0.09329781542089997,False,True
AvgIDF,6.125702334486874,1.6665886872265756,8217,5.776774225698372,1.6470517912193912,2002,5.396139096454065,6.173421696218092,1.4951199493736258e-05,1.1265071073676446e-18,0.0012352903778428171,0.03144332910760439,0.10439253692375966,0.33362220422267996,-0.13403926624037024,-0.10529561736929192,False,True
Clarity,1.234808473751264,0.12052937716972847,8217,1.2273998547598695,0.12018468659750492,2002,1.2238028998937962,1.2247038254173508,0.05691337066641707,0.060583642553799895,0.1440659322825641,0.9045503534699075,0.050436901486775355,0.0805094082071018,0.07257921195654138,-0.011052092814642875,False,False
MaxIDF,12.344369300064956,3.59817601501851,8217,11.789794808705215,3.7051397485704562,2002,11.089084610140079,12.510735008993676,0.0684629872230689,9.963566957782435e-08,0.0018012880470103145,0.107256940583347,0.05441982978290605,0.24735713199615797,-0.146465688001267,-0.0996425897193503,False,True
MaxSCQ,77.71618394578947,6.209312705107412,8217,76.86598726283958,6.474377702363962,2002,75.71067975834232,77.88633222823479,0.045560329352180205,2.624785056632433e-08,0.03263143092655858,0.13804573402227457,0.05337087624062703,0.23712149796722407,-0.11117260784809928,-0.08329722846962745,False,True
NQC,0.02097967716287142,0.006737027597657885,8217,0.021333566950989383,0.006958382263272638,2002,0.021995304975525046,0.020621133445623944,0.8025431929467969,0.0033640129239377583,0.00600584141387236,0.45518450532132726,-0.01964450779632059,-0.11781598380012741,0.08560110622000557,0.03273513126594861,False,True
SClarity,8.607947729197043,1.7591655363666665,8217,8.273827867933282,1.7315345500915458,2002,7.946657725114209,8.620829587227183,1.7333804413941336e-05,1.0901875119910062e-14,0.02466142071700934,0.06577142327767672,0.10264631215510181,0.2890866433530539,-0.09509940866893185,-0.08764218402595393,False,True
SMV,2.778408706141427,1.8844595846525873,8217,2.87078064088584,1.9941352084234507,2002,3.0459393850401315,2.690908356161805,0.9888576801895007,0.006088359392797088,0.002870573113298068,0.5165092263884865,-0.02209839581198426,-0.114407962892742,0.07276227500019715,0.0266820937962158,False,True
WIG,2.1953662827435667,0.6984423270180777,8217,2.2202861861344223,0.7147784993372237,2002,2.321625951131185,2.1005369872073425,0.6086265472113841,0.0006945472175072487,1.6021722709503952e-06,0.43745619563332583,0.0009125632609057361,-0.14354347467006057,0.1723534199956349,0.03659517638013938,False,True
nSigma,0.5310246282259176,0.18001064004138773,8217,0.5408686600251174,0.18406910133650148,2002,0.5644739654772614,0.5141610541726606,0.84247838197838,0.0008376349790014205,7.541536232280069e-05,0.3318862562967515,-0.005224458138386768,-0.1361917296140084,0.14285004929141892,0.049426610621286046,False,True
