QPP_Feature,Stratum,QPP_Mean,RoBERTa_AUC,LogReg_AUC,AUC_Improvement
WIG,Low,1.531863395999754,0.7237824675324676,0.7224025974025974,-0.0013798701298701754
WIG,Mid,2.1052827984353772,0.7062947196811883,0.7074540349606014,0.0011593152794131534
WIG,High,3.022509630168983,0.7107564191533657,0.7010779551237567,-0.009678464029609035
NQC,Low,0.014456490451212303,0.7158978509126878,0.717426490423523,0.0015286395108352613
NQC,Mid,0.02029779557993164,0.7048773841961853,0.701480472297911,-0.0033969118982742907
NQC,High,0.029234569241179256,0.7264688508201935,0.7213522969964102,-0.0051165538237832875
SMV,Low,1.202057432491108,0.7184805112971465,0.7193266720676929,0.0008461607705463337
SMV,Mid,2.361865757991306,0.7124735921905733,0.7076928680702266,-0.004780724120346691
SMV,High,5.045158794912696,0.7166087852188101,0.711768620051592,-0.00484016516721808
Clarity,Low,1.0989594072943787,0.7533206831119544,0.7536821180084938,0.0003614348965393921
Clarity,Mid,1.2264441548875498,0.7072559414331565,0.6996646110570162,-0.007591330376140348
Clarity,High,1.3566022952902872,0.691627848192684,0.6944444444444445,0.0028165962517605614
nSigma,Low,0.35800693688159774,0.7133463049039744,0.7157514502936619,0.002405145389687502
nSigma,Mid,0.5144104899010331,0.7170858867648404,0.7109576511479009,-0.006128235616939537
nSigma,High,0.7498752001590875,0.7146585907090108,0.7097566299246971,-0.004901960784313708
