metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6354916067146283,0.6237623762376238,0.6974229176254028,0.6812927764795098,0.4,0.6,417
single_metric,0.6474820143884892,0.622107969151671,0.7051541647491946,0.6910004202750004,0.4,0.6,417
