conv_id,turn_id,maxidf,num_terms
food_level3_dial26,1,7.699791001068384,5
food_level3_dial26,2,5.575467685004623,7
food_level3_dial26,3,5.575467685004623,6
food_level3_dial26,4,13.873924266924858,3
food_level3_dial26,5,5.575467685004623,5
food_level3_dial26,6,13.873924266924858,9
hobby_level1_dial16,1,4.852426668732894,4
hobby_level1_dial16,2,10.559738262252331,7
hobby_level1_dial16,3,10.357416038751708,7
hobby_level1_dial16,4,8.071302493601095,16
hobby_level1_dial16,5,4.030443298063421,6
hobby_level1_dial16,6,8.071302493601095,11
top25_dial5,1,15.665683736152912,8
top25_dial5,2,15.665683736152912,12
top25_dial5,3,13.586242194473076,12
food_level2_dial36,1,10.965203370360497,5
food_level2_dial36,2,9.69187412428365,5
food_level2_dial36,3,12.298387906166438,6
food_level2_dial36,4,15.665683736152912,7
food_level2_dial36,5,9.888031412930255,5
food_level3_dial27,1,14.567071447484803,9
food_level3_dial27,2,2.1698854509385566,3
food_level3_dial27,3,3.4605064913743715,6
food_level3_dial27,4,14.567071447484803,7
food_level3_dial27,5,6.52255211387018,7
food_level3_dial27,6,10.347563742308695,5
food_level2_dial37,1,14.056245823718813,9
food_level2_dial37,2,14.056245823718813,6
food_level2_dial37,3,14.567071447484803,6
food_level2_dial37,4,14.056245823718813,8
food_level2_dial37,5,4.665302036776045,7
food_level2_dial37,6,15.665683736152912,6
food_level2_dial12,1,15.665683736152912,12
food_level2_dial12,2,15.665683736152912,7
food_level2_dial12,3,15.665683736152912,7
food_level2_dial12,4,14.279389375033022,8
food_level2_dial12,5,14.972536555592967,7
food_level2_dial12,6,12.957633535050702,7
hobby_level2_dial2,1,10.559738262252331,7
hobby_level2_dial2,2,12.054765823508689,9
hobby_level2_dial2,3,13.586242194473076,5
hobby_level2_dial2,4,14.056245823718813,8
hobby_level2_dial2,5,14.056245823718813,7
hobby_level2_dial2,6,14.279389375033022,7
hobby_level3_dial33,1,14.567071447484803,8
hobby_level3_dial33,2,14.567071447484803,10
hobby_level3_dial33,3,14.567071447484803,7
hobby_level3_dial33,4,13.180777086364913,9
hobby_level3_dial33,5,10.724041313543609,6
hobby_level3_dial33,6,11.714440017571485,8
food_level1_dial1,1,13.180777086364913,8
food_level1_dial1,2,13.026626406537654,7
hobby_level1_dial17,1,10.434575119298326,7
hobby_level1_dial17,2,7.7747270200139935,5
hobby_level1_dial17,3,4.728104638466491,5
hobby_level1_dial17,4,4.717969685475267,5
hobby_level1_dial17,5,15.665683736152912,10
hobby_level1_dial17,6,7.7747270200139935,6
top25_dial23,1,9.576638860706067,8
top25_dial23,2,11.375224295004521,8
top25_dial23,3,7.693907613272285,8
top25_dial23,4,11.133084242999656,13
top25_dial23,5,5.965720948061842,7
top25_dial23,6,11.09097275764953,10
food_level3_dial28,1,15.665683736152912,5
food_level3_dial28,2,15.665683736152912,4
food_level3_dial28,3,15.665683736152912,8
food_level3_dial28,4,15.665683736152912,9
food_level3_dial28,5,15.665683736152912,4
food_level3_dial28,6,6.480968911815703,4
hobby_level2_dial20,1,6.53981252080318,5
hobby_level2_dial20,2,6.53981252080318,8
hobby_level2_dial20,3,13.363098643158867,6
hobby_level2_dial20,4,9.717648746972266,5
hobby_level2_dial20,5,6.53981252080318,5
hobby_level2_dial20,6,13.267788463354542,8
top25_dial50,1,15.665683736152912,8
top25_dial50,2,15.665683736152912,7
top25_dial50,3,15.665683736152912,7
top25_dial50,4,15.665683736152912,9
top25_dial50,5,15.665683736152912,7
top25_dial50,6,8.428624710028174,6
hobby_level3_dial34,1,14.567071447484803,6
hobby_level3_dial34,2,14.567071447484803,7
hobby_level3_dial34,3,15.665683736152912,5
hobby_level3_dial34,4,14.567071447484803,7
hobby_level3_dial34,5,14.972536555592967,6
hobby_level3_dial34,6,11.676699689588638,6
food_level1_dial10,1,8.521276555831774,6
food_level1_dial10,2,12.298387906166438,8
food_level1_dial10,3,6.157092340375715,3
food_level1_dial10,4,15.665683736152912,4
food_level1_dial10,5,14.972536555592967,11
food_level1_dial10,6,10.745702810324788,3
food_level2_dial38,1,14.056245823718813,5
food_level2_dial38,2,7.450677303391338,3
food_level2_dial38,3,14.567071447484803,4
food_level2_dial38,4,12.574641282794596,5
