conv_id,turn_id,maxscq,num_terms
hobby_level3_dial35,7,74.40720377616417,8
food_level1_dial11,1,74.88957842401784,8
food_level1_dial11,2,74.88957842401784,8
food_level1_dial11,3,77.53317743388769,7
food_level1_dial11,4,74.52264022904167,6
food_level1_dial11,5,74.88957842401784,10
food_level1_dial11,6,73.74553767545126,5
hobby_level2_dial21,1,66.96932847913902,8
hobby_level2_dial21,2,67.85912503555386,9
hobby_level2_dial21,3,72.18291342679761,7
hobby_level2_dial21,4,55.4445446566728,4
food_level2_dial4,1,71.74712187099124,8
food_level2_dial4,2,71.74712187099124,5
food_level2_dial4,3,71.74712187099124,5
food_level2_dial4,4,71.74712187099124,5
food_level2_dial4,5,71.74712187099124,10
food_level2_dial4,6,71.74712187099124,5
hobby_level3_dial1,1,51.59209920065354,5
hobby_level3_dial1,2,70.26395998178279,11
hobby_level3_dial1,3,53.88494142804202,9
hobby_level3_dial1,4,73.88679815885193,10
hobby_level3_dial1,5,73.74553767545126,11
hobby_level3_dial1,6,53.28689058123618,4
hobby_level1_dial18,1,73.49644832504302,6
hobby_level1_dial18,2,61.361904721332394,6
hobby_level1_dial18,3,61.361904721332394,10
hobby_level1_dial18,4,75.35418395527614,5
hobby_level1_dial18,5,75.35418395527614,11
hobby_level1_dial18,6,73.88679815885193,5
food_level1_dial12,1,64.41503233231656,5
food_level1_dial12,2,65.0703640813438,5
food_level1_dial12,3,45.65441465920926,3
food_level1_dial12,4,72.60820517139966,9
food_level1_dial12,5,45.65441465920926,6
food_level1_dial12,6,73.74553767545126,3
top25_dial52,1,72.70932243100792,7
top25_dial52,2,39.5929701640789,8
hobby_level3_dial36,1,69.31281286458771,8
hobby_level3_dial36,2,60.65637676932357,5
hobby_level3_dial36,3,69.31281286458771,7
food_level3_dial3,1,65.34116640324879,7
food_level3_dial3,2,73.88679815885193,9
food_level3_dial3,3,70.29962090498702,6
food_level3_dial3,4,73.88679815885193,8
food_level3_dial3,5,74.40236436749402,8
food_level3_dial3,6,68.0322971832823,10
hobby_level2_dial22,1,69.89659578913195,4
hobby_level2_dial22,2,71.60406917694228,6
hobby_level2_dial22,3,71.60406917694228,8
hobby_level2_dial22,4,71.60406917694228,8
hobby_level2_dial22,5,71.42177649019536,6
hobby_level2_dial22,6,68.0933653626345,8
food_level2_dial5,1,69.6726929413039,6
food_level2_dial5,2,71.59369518335927,7
food_level2_dial5,3,71.59369518335927,8
food_level1_dial13,1,80.71648179314721,8
food_level1_dial13,2,80.71648179314721,6
food_level1_dial13,3,52.65483932122371,6
hobby_level3_dial37,1,74.08633534761911,9
hobby_level3_dial37,2,74.08633534761911,9
hobby_level3_dial37,3,74.08633534761911,8
hobby_level3_dial37,4,55.500923270436644,9
hobby_level3_dial37,5,75.75231967868002,7
hobby_level3_dial37,6,75.75231967868002,9
hobby_level3_dial10,1,73.8743824503606,8
hobby_level3_dial10,2,73.74553767545126,11
hobby_level3_dial10,3,74.27471788223224,8
hobby_level3_dial10,4,73.8743824503606,6
food_level2_dial13,1,71.82858967283883,6
food_level2_dial13,2,71.7525041114577,6
food_level2_dial13,3,73.74553767545126,6
food_level2_dial13,4,62.23444209981942,10
food_level2_dial13,5,45.65966324513079,4
food_level2_dial13,6,62.23444209981942,9
food_level3_dial30,1,72.4627914959989,5
food_level3_dial30,2,67.78378918126289,9
food_level3_dial30,3,72.4627914959989,6
food_level3_dial30,4,72.4627914959989,5
food_level3_dial30,5,72.77290596222096,8
food_level3_dial30,6,72.4627914959989,10
food_level3_dial30,7,60.373337467571986,11
food_level1_dial14,1,76.89157317427268,6
food_level1_dial14,2,76.89157317427268,4
food_level1_dial14,3,76.89157317427268,6
food_level1_dial14,4,74.14895235328122,3
food_level1_dial14,5,74.14895235328122,7
food_level1_dial14,6,74.14895235328122,4
hobby_level1_dial19,1,74.37356307023687,7
hobby_level1_dial19,2,73.17434678069398,10
hobby_level1_dial19,3,73.17434678069398,6
hobby_level1_dial19,4,73.98846278652002,11
hobby_level1_dial19,5,73.74553767545126,8
hobby_level1_dial19,6,73.88679815885193,10
top25_dial53,1,75.86099158430481,6
top25_dial53,2,75.86099158430481,6
top25_dial53,3,75.86099158430481,7
top25_dial53,4,75.86099158430481,6
top25_dial53,5,75.86099158430481,8
top25_dial53,6,63.19947646980853,5
food_level3_dial31,1,72.07082186054004,5
food_level3_dial31,2,75.26807913284341,9
food_level3_dial31,3,72.07082186054004,10
food_level3_dial31,4,72.07082186054004,5
food_level3_dial31,5,72.07082186054004,5
food_level3_dial31,6,66.2192673853075,8
hobby_level1_dial2,1,65.09842021890123,7
hobby_level1_dial2,2,60.44734541532902,6
hobby_level1_dial2,3,73.88679815885193,6
hobby_level1_dial2,4,62.039481110999674,5
hobby_level1_dial2,5,55.42232150642614,8
hobby_level1_dial2,6,55.42232150642614,7
food_level2_dial14,1,75.44684191739677,5
food_level2_dial14,2,75.44684191739677,8
food_level2_dial14,3,80.96301342865607,4
food_level2_dial14,4,80.96301342865607,3
food_level2_dial14,5,80.96301342865607,3
food_level2_dial14,6,75.44684191739677,6
hobby_level3_dial38,1,72.14501328964485,7
hobby_level3_dial38,2,72.14501328964485,5
hobby_level3_dial38,3,72.14501328964485,7
hobby_level3_dial38,4,72.14501328964485,7
hobby_level3_dial38,5,73.19012570279138,7
