metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6187050359712231,0.5891472868217055,0.6702648976006658,0.6473744154427876,0.4,0.6,417
single_metric,0.592326139088729,0.5707070707070707,0.6288890943553234,0.60687288881245,0.4,0.6,417
