conv_id,turn_id,acc,wacc,mean_similarity,num_edges,num_nodes,num_documents,num_documents_for_network
-4469503464110108318,1,0.7793883058636277,0.6072622828109312,0.7425471544265747,2713,100,100,100
4790842463458965203,1,0.7825627196272709,0.5580776410047357,0.6745936274528503,2698,100,100,100
-6631915997977101143,1,0.7651173342925212,0.5333834824966156,0.6415053606033325,2591,100,100,100
-3098213414945179817,1,0.776042841246666,0.536996042762994,0.6777581572532654,2578,100,100,100
-927805218867163489,1,0.7970121512321846,0.5416266554602547,0.6674565076828003,2588,100,100,100
-8765341210106443690,1,0.8184605213821701,0.6078455060352919,0.7486746311187744,2697,100,100,100
-8984315366060644345,1,0.7760163415557291,0.5360066179747883,0.687402069568634,2699,100,100,100
-3359151041540098032,1,0.7950559320362157,0.6047385573914097,0.7040592432022095,2564,100,100,100
6601536662148726350,1,0.7643282630318998,0.5239121470186988,0.7047330737113953,2571,100,100,100
-4757397641844293607,1,0.7885256285464108,0.565359302553573,0.6919060945510864,2607,100,100,100
-6857918454805495301,1,0.795558902680219,0.554145516079995,0.6855748891830444,2675,100,100,100
-4132174036373265970,1,0.7640860829935651,0.573935878863587,0.6913914680480957,2671,100,100,100
1561260788294720798,1,0.8051100099846376,0.580546257992255,0.7384093999862671,2671,100,100,100
-3609553841261159056,1,0.7783133109088305,0.4876226729039432,0.6999534368515015,2505,100,100,100
128788970421661020,1,0.7893123928997317,0.6061406738970693,0.6733042001724243,2809,100,100,100
4722519916015127979,1,0.7686043872902556,0.47866732322465766,0.6833697557449341,2481,100,100,100
-1911980845281550523,1,0.8027757002559295,0.6269274992352624,0.7216689586639404,2670,100,100,100
-8524801800420428358,1,0.8094093692286719,0.6275281389426673,0.6481116414070129,2764,100,100,100
4776000106366522865,1,0.7775140200027276,0.45526815672964427,0.6270987391471863,2549,100,100,100
4723481094198751540,1,0.7898454482110217,0.5921407334060347,0.6687842011451721,2608,100,100,100
-7461719336882424985,1,0.7596010802865913,0.4986774709805143,0.6610842943191528,2626,100,100,100
6629199459601104475,1,0.8023339479152726,0.5973449028259695,0.6979696154594421,2562,100,100,100
-1688500492894023725,1,0.8026909749548671,0.5696806412517366,0.6619608998298645,2744,100,100,100
-4920697783415402962,1,0.7806052559232047,0.48732839187301247,0.6962518692016602,2533,100,100,100
-4950316745090894056,1,0.8006697708325667,0.6223528987675672,0.7034404873847961,2684,100,100,100
-8652199953083038138,1,0.8081517580124116,0.591441730717436,0.6606293320655823,2597,100,100,100
7030758716024791080,1,0.77683395069889,0.5636066976087003,0.7060745358467102,2510,100,100,100
1237920926774398276,1,0.788813395320625,0.5417528255959622,0.7121537923812866,2665,100,100,100
4737873499269724327,1,0.7913990761143097,0.6331438539151423,0.7427725791931152,2860,100,100,100
4123548744340087331,1,0.7961103555943244,0.5656680218062295,0.6726868152618408,2691,100,100,100
-3430387669519489370,1,0.7745911574229634,0.5658369268976166,0.6463742852210999,2621,100,100,100
6389345907245133102,1,0.7759968331541479,0.5046000821326527,0.6548332571983337,2579,100,100,100
7063169977317265636,1,0.7726653749195339,0.5697018488681163,0.6969058513641357,2640,100,100,100
-1672733591597131629,1,0.798584942317344,0.5706083596956494,0.6703449487686157,2722,100,100,100
3459755935653104243,1,0.7739856444158966,0.6022562413099182,0.6944701671600342,2694,100,100,100
-7563488770313519534,1,0.7836204261623436,0.5527189134613307,0.67723548412323,2506,100,100,100
3630976503357786326,1,0.7582877456451297,0.5442976287302485,0.6324570775032043,2670,100,100,100
5998037098651415370,1,0.7751900551906376,0.5179766661328692,0.6743482351303101,2740,100,100,100
7208068189874944399,1,0.7561533415576143,0.525316322537719,0.6487917304039001,2671,100,100,100
-3713688239328074547,1,0.7740479488929374,0.5499697786827736,0.6722073554992676,2610,100,100,100
2034739379280412436,1,0.7934921664565447,0.5121772509637141,0.6820542812347412,2634,100,100,100
8651809831547260844,1,0.7770390427259839,0.5531450328576529,0.6367040276527405,2362,100,100,100
1533477128984345682,1,0.7652049637696845,0.5308483257965633,0.6783866286277771,2237,100,100,100
-5492391637682725131,1,0.7510935168643351,0.5156765052337728,0.6828190088272095,2554,100,100,100
-2558199766533138150,1,0.7723191594746317,0.4839078081451098,0.6700335144996643,2643,100,100,100
-6363994615218497826,1,0.7891557780714779,0.5098539892297468,0.6721531748771667,2589,100,100,100
3855307908076704970,1,0.8019669570453587,0.5829765153517296,0.6947912573814392,2515,100,100,100
4063304367414770942,1,0.7865088236402694,0.4805425339820497,0.6805458068847656,2663,100,100,100
-4110639543763413474,1,0.7906889714140487,0.5568855094617373,0.6662885546684265,2679,100,100,100
5150378125952226530,1,0.8091070857610768,0.6211098619255838,0.6627197861671448,2648,100,100,100
-229557364858904345,1,0.7865195487068299,0.5532830402337369,0.6863294243812561,2758,100,100,100
-6875166619428307308,1,0.8442370719302343,0.5892590842897455,0.68731290102005,2515,100,100,100
5693531505008967478,1,0.7799594101867413,0.5429826843784099,0.6698604822158813,2554,100,100,100
7754002205765507756,1,0.7841681932226018,0.5760323069187723,0.668554961681366,2532,100,100,100
-3944861237014469052,1,0.7876960360682772,0.5260552682963165,0.6573475003242493,2678,100,100,100
-2590664031903851316,1,0.7834893284993751,0.6006166139480309,0.6852788329124451,2678,100,100,100
3204171409264914923,1,0.7945682938433128,0.541360647086638,0.6641022562980652,2498,100,100,100
3240942651859718397,1,0.7675146065802467,0.4864787174260904,0.6858124136924744,2442,100,100,100
2094392886389474592,1,0.8152961473881757,0.6348012616412925,0.7251641750335693,2782,100,100,100
4113432615092381478,1,0.7597579305969052,0.5412719990772896,0.6485052704811096,2538,100,100,100
-1617571755505770769,1,0.7868123296014837,0.4747296093584544,0.6458520889282227,2541,100,100,100
-5968852733411945019,1,0.7722689755525183,0.5715565662998293,0.6474000811576843,2713,100,100,100
9118807424034544000,1,0.7866200692127181,0.6041614615553488,0.6639305949211121,2734,100,100,100
6915912596627348551,1,0.787138161481486,0.6045203645189201,0.7229062914848328,2589,100,100,100
1332897475571730747,1,0.7957563410606305,0.6035971491257893,0.7078059911727905,2617,100,100,100
-4283713808554560002,1,0.7875690695954835,0.6042321081438439,0.7037461400032043,2698,100,100,100
1109919554091311092,1,0.8410750200936333,0.6539706612988232,0.6840354800224304,2741,100,100,100
