conv_id,turn_id,mean_similarity,sum_similarity,num_similarity_pairs,num_retrieved_documents
-4469503464110108318,1,0.7425471544265747,3675.6083984375,4950,100
4790842463458965203,1,0.6745936274528503,3339.238525390625,4950,100
-6631915997977101143,1,0.6415053606033325,3175.45166015625,4950,100
-3098213414945179817,1,0.6777581572532654,3354.90283203125,4950,100
-927805218867163489,1,0.6674565076828003,3303.90966796875,4950,100
-8765341210106443690,1,0.7486746311187744,3705.939453125,4950,100
-8984315366060644345,1,0.687402069568634,3402.64013671875,4950,100
-3359151041540098032,1,0.7040592432022095,3485.09326171875,4950,100
6601536662148726350,1,0.7047330737113953,3488.4287109375,4950,100
-4757397641844293607,1,0.6919060945510864,3424.93505859375,4950,100
-6857918454805495301,1,0.6855748891830444,3393.595703125,4950,100
-4132174036373265970,1,0.6913914680480957,3422.3876953125,4950,100
1561260788294720798,1,0.7384093999862671,3655.12646484375,4950,100
-3609553841261159056,1,0.6999534368515015,3464.76953125,4950,100
128788970421661020,1,0.6733042001724243,3332.855712890625,4950,100
4722519916015127979,1,0.6833697557449341,3382.68017578125,4950,100
-1911980845281550523,1,0.7216689586639404,3572.26123046875,4950,100
-8524801800420428358,1,0.6481116414070129,3208.152587890625,4950,100
4776000106366522865,1,0.6270987391471863,3104.138671875,4950,100
4723481094198751540,1,0.6687842011451721,3310.48193359375,4950,100
-7461719336882424985,1,0.6610842943191528,3272.3671875,4950,100
6629199459601104475,1,0.6979696154594421,3454.94970703125,4950,100
-1688500492894023725,1,0.6619608998298645,3276.70654296875,4950,100
-4920697783415402962,1,0.6962518692016602,3446.44677734375,4950,100
-4950316745090894056,1,0.7034404873847961,3482.0302734375,4950,100
-8652199953083038138,1,0.6606293320655823,3270.115234375,4950,100
7030758716024791080,1,0.7060745358467102,3495.06884765625,4950,100
1237920926774398276,1,0.7121537923812866,3525.161376953125,4950,100
4737873499269724327,1,0.7427725791931152,3676.724365234375,4950,100
4123548744340087331,1,0.6726868152618408,3329.7998046875,4950,100
-3430387669519489370,1,0.6463742852210999,3199.552734375,4950,100
6389345907245133102,1,0.6548332571983337,3241.424560546875,4950,100
7063169977317265636,1,0.6969058513641357,3449.683837890625,4950,100
-1672733591597131629,1,0.6703449487686157,3318.20751953125,4950,100
3459755935653104243,1,0.6944701671600342,3437.62744140625,4950,100
-7563488770313519534,1,0.67723548412323,3352.315673828125,4950,100
3630976503357786326,1,0.6324570775032043,3130.66259765625,4950,100
5998037098651415370,1,0.6743482351303101,3338.023681640625,4950,100
7208068189874944399,1,0.6487917304039001,3211.51904296875,4950,100
-3713688239328074547,1,0.6722073554992676,3327.42626953125,4950,100
2034739379280412436,1,0.6820542812347412,3376.168701171875,4950,100
8651809831547260844,1,0.6367040276527405,3151.68505859375,4950,100
1533477128984345682,1,0.6783866286277771,3358.013916015625,4950,100
-5492391637682725131,1,0.6828190088272095,3379.9541015625,4950,100
-2558199766533138150,1,0.6700335144996643,3316.666015625,4950,100
-6363994615218497826,1,0.6721531748771667,3327.158203125,4950,100
3855307908076704970,1,0.6947912573814392,3439.216796875,4950,100
