conv_id,turn_id,n_sigma_50,sigma_50,query_length,num_retrieved_documents,num_filtered_documents
-4469503464110108318,1,0.285034813316533,0.8062001974814486,8,100,100
4790842463458965203,1,0.28266105608891073,0.8479831682667323,9,100,100
-6631915997977101143,1,0.19172595272099346,0.5751778581629804,9,100,100
-3098213414945179817,1,0.40547889171824264,1.216436675154728,9,100,100
-927805218867163489,1,0.56481633409774,1.5975418398617545,8,100,100
-8765341210106443690,1,0.5426725063937619,1.5349096369381163,8,100,100
-8984315366060644345,1,0.6555551430880734,2.1742304390108855,11,100,100
-3359151041540098032,1,0.3827362490122749,1.2103182899881588,10,100,100
6601536662148726350,1,0.6080431064654839,1.7198056153419101,8,100,100
-4757397641844293607,1,0.2398480093925937,0.6783926155823911,8,100,100
-6857918454805495301,1,0.25707867165418596,0.6801662325758059,7,100,100
-4132174036373265970,1,0.35303973412563233,1.059119202376897,9,100,100
1561260788294720798,1,0.26544060251234153,0.7507794001548785,8,100,100
-3609553841261159056,1,0.24130023409357093,0.6825001273178615,8,100,100
128788970421661020,1,0.21728539140969563,0.7206541157314728,11,100,100
4722519916015127979,1,0.4226950565141253,1.1955621633406759,8,100,100
-1911980845281550523,1,0.10835578925495727,0.32506736776487183,9,100,100
-8524801800420428358,1,0.2945641201908124,1.1021580161905202,14,100,100
4776000106366522865,1,0.06069974173827462,0.18209922521482386,9,100,100
4723481094198751540,1,0.18141137671773858,0.5131088586460013,8,100,100
-7461719336882424985,1,0.10457012612694719,0.36224154281151644,12,100,100
6629199459601104475,1,0.2937728762290851,0.8309151716410496,8,100,100
-1688500492894023725,1,0.6929767715712774,1.9600342975312455,8,100,83
-4920697783415402962,1,0.24148954081638452,0.6830355675875642,8,100,100
-4950316745090894056,1,0.576523284458803,1.5253372357161419,7,100,100
-8652199953083038138,1,0.2204698785845172,0.6235829847779476,8,100,100
7030758716024791080,1,0.2263130259268524,0.6401099012148972,8,100,100
1237920926774398276,1,0.30215619893782614,0.9555017977824802,10,100,100
4737873499269724327,1,0.3594283799550743,1.016616979268512,8,100,100
4123548744340087331,1,1.033476207146186,3.1004286214385584,9,100,49
-3430387669519489370,1,0.2355073961917608,0.7810896685216447,11,100,100
6389345907245133102,1,0.21280724033806678,0.6384217210142004,9,100,100
7063169977317265636,1,0.21995332176111806,0.6598599652833542,9,100,100
-1672733591597131629,1,0.19718029033227769,0.5915408709968331,9,100,100
3459755935653104243,1,0.386298654785122,1.0926175934472038,8,100,100
-7563488770313519534,1,0.25291106971033306,0.7153405297172806,8,100,100
3630976503357786326,1,0.18943885104435057,0.5683165531330517,9,100,100
5998037098651415370,1,0.3181298155066999,1.1020340077202349,12,100,100
7208068189874944399,1,0.3753548048514176,1.0616637114455625,8,100,100
-3713688239328074547,1,0.3284677858763964,0.9290471951781232,8,100,100
2034739379280412436,1,0.09913922072236885,0.2974176621671065,9,100,100
8651809831547260844,1,0.36100092623774876,0.9551186738890555,7,100,100
1533477128984345682,1,0.7761377204489895,2.574157604371048,11,100,100
-5492391637682725131,1,0.3265779030714182,1.0831363693089484,11,100,100
-2558199766533138150,1,0.2791766701045365,1.116706680418146,16,100,100
-6363994615218497826,1,0.19697060542999642,0.5909118162899892,9,100,100
3855307908076704970,1,0.3438202894968221,0.9724706328508992,8,100,100
4063304367414770942,1,0.28480505890689806,0.805550353877207,8,100,100
-4110639543763413474,1,0.3169453764490054,0.9508361293470161,9,100,100
5150378125952226530,1,0.4558576822963095,1.289360233630813,8,100,100
-229557364858904345,1,0.33789953702870534,0.9557242159711699,8,100,100
-6875166619428307308,1,0.18049569642901997,0.6753530558245495,14,100,100
5693531505008967478,1,0.3193991342032054,0.9581974026096163,9,100,100
7754002205765507756,1,0.19109279078385988,0.5732783723515796,9,100,100
-3944861237014469052,1,0.3153591552033238,1.04592799201288,11,100,100
-2590664031903851316,1,0.4594502251182117,1.378350675354635,9,100,100
3204171409264914923,1,0.27091109167967947,0.8566960931104781,10,100,100
3240942651859718397,1,0.1896581834402481,0.5689745503207443,9,100,100
2094392886389474592,1,0.3361156885560087,0.9506787305645577,8,100,100
4113432615092381478,1,0.26291935381732157,0.7436482319576531,8,100,100
-1617571755505770769,1,0.21170570078824286,0.6694722081329517,10,100,100
-5968852733411945019,1,0.1941660211004261,0.5824980633012783,9,100,100
9118807424034544000,1,0.12133695484317723,0.3431927343125461,8,100,100
6915912596627348551,1,0.2694564161719664,0.7621378364376878,8,100,100
1332897475571730747,1,0.2640657951772518,0.8350493649036224,10,100,100
-4283713808554560002,1,0.21390958324226902,0.641728749726807,9,100,100
1109919554091311092,1,0.14769837881731976,0.4430951364519593,9,100,100
8505647719348789352,1,0.32383802148621005,0.9715140644586302,9,100,100
-8086186598590428328,1,0.15969536561607026,0.45168670380475323,8,100,100
2217144977440365678,1,0.47346256117793367,1.3391543505874701,8,100,100
3141501970999254639,1,0.23589633120049605,0.667215581795594,8,100,100
6267368935580291991,1,0.26808008267492406,0.8891210480001783,11,100,100
2375410666129136218,1,0.2358064159086215,0.6669612629451266,8,100,100
-1120514028652364195,1,0.17433337970800508,0.4930892599147986,8,100,100
369553729358573631,1,0.2891510767912212,0.8178427487458586,8,100,100
-3521200059945079578,1,0.1501849016092392,0.47492635925348325,10,100,100
-228017844504433803,1,0.2704042397154684,0.7648186862576019,8,100,100
-6567021105969776914,1,0.24382562152711304,0.6896430016353852,8,100,100
3191215928530494096,1,0.19460082000143406,0.5838024600043021,9,100,100
-2071940157427414850,1,0.2593407563128112,0.8201074800591747,10,100,100
-3800524559144424177,1,0.2055406796329545,0.5813568335126154,8,100,100
-6839117089970381436,1,0.3643430304646709,1.0930290913940128,9,100,100
-4490620988150231901,1,0.13489739064576992,0.3815474387599786,8,100,100
1022217780810569079,1,0.39443846387227893,1.115640450259574,8,100,100
-862554052027960093,1,1.1182647812185664,3.1629304398469573,8,100,52
-3516190339598522976,1,0.20563335457021625,0.6169000637106488,9,100,100
-7748524737773999409,1,0.35438297028885474,1.0631489108665642,9,100,100
3388798511401254812,1,0.33522660668027104,1.111820874102506,11,100,100
1459126538041943679,1,0.658427290163249,1.862313607170864,8,100,89
-8834069158837396685,1,0.1470751218187437,0.4159912639274849,8,100,100
-1757904552409029500,1,0.19127262601399467,0.573817878041984,9,100,100
1004431282200370974,1,0.1584997306996318,0.4483049375758051,8,100,100
8184930622224282678,1,0.15005823794048348,0.45017471382145047,9,100,100
8631327196287980755,1,0.17709470747475287,0.46854855448392757,7,100,100
-2593355371932719161,1,0.13284425005750602,0.4405945329968962,11,100,100
2837484115382116119,1,0.24088373075817165,0.6813220779864709,8,100,100
7199599312216372048,1,0.34946667820436655,0.9884410318281786,8,100,100
-8850169184954446631,1,0.5577326609244341,1.577506186515539,8,100,100
-3897740693502172696,1,0.5047291746071952,1.5141875238215858,9,100,100
-3471432714621884410,1,0.508195939307145,1.4373951794221975,8,100,100
6373189865465953269,1,0.3559613054205607,1.1805900899651016,11,100,100
8092598956660291215,1,0.1790438680654001,0.5371316041962003,9,100,100
62966941368680868,1,0.26035303114660663,0.7810590934398198,9,100,100
5133876537670324411,1,0.24020740978592922,0.6794091534035457,8,100,100
8932763630388059887,1,0.19993132061979813,0.5654911703273643,8,100,100
8923681797804610584,1,0.3975219264558315,1.124361799469034,8,100,100
-2938945366077744797,1,0.16588768670819248,0.598116560394494,13,100,100
3527566788119942912,1,0.8937075844784065,2.6811227534352193,9,100,63
618489770509518870,1,1.1945883277059026,3.3788060289885657,8,100,57
-652117253746563674,1,0.2512751222211858,0.7538253666635574,9,100,100
-2633917229646894638,1,1.0188268360155457,3.221813343111993,10,100,92
-5955439966878959532,1,0.3822283129784245,1.528913251913698,16,100,100
-586025167603300600,1,0.45895273720766205,1.4513359879449188,10,100,100
4647818796298534404,1,0.2621292141406004,0.9080422340792441,12,100,100
-7869146853815250428,1,0.19135124427827255,0.5740537328348176,9,100,100
7125146488385376967,1,0.13209552010606682,0.37362255212545514,8,100,100
-6760592683069308709,1,0.433775616848825,1.3717189426867977,10,100,100
-2701905006672196275,1,0.246803903553438,0.6980668553037868,8,100,100
-4268291779673036451,1,0.31773938486260794,0.8987026947455693,8,100,100
6635381132510830269,1,0.41270830033402733,1.1673153512726602,8,100,100
6906756762659846441,1,0.31790666175436966,0.953719985263109,9,100,100
41813383673449160,1,0.39814025721553953,1.1261107029618571,8,100,100
5736313144411923989,1,0.14583526215746737,0.4375057864724021,9,100,100
2437211415582489495,1,0.7218463964844344,2.041689927716867,8,100,100
4121961896432917626,1,0.2681259827597254,0.8892732813593097,11,100,100
3624155410679767933,1,1.3662504729726623,3.86433989695319,8,100,16
5277039265479571506,1,0.19446284432439934,0.6149455083398494,10,100,100
-3139712300447252950,1,0.19240146377230774,0.5772043913169232,9,100,100
-2433903014343400592,1,0.4056672605473008,1.405272612470413,12,100,100
8509594427725708011,1,0.34867691146176294,1.102613207732041,10,100,100
637466759495656530,1,0.25058582098174453,0.7087637331415593,8,100,100
4388511442090327281,1,0.17241700026490112,0.5718424973572845,11,100,100
4017581325391763586,1,0.26971536074527686,1.044603100382783,15,100,100
-970242290152935238,1,0.3827271615061533,1.4822959226545682,15,100,100
-3051966899537699923,1,0.33223814887921305,1.0506292760564315,10,100,100
9031064052174526065,1,0.2544561076896433,0.7633683230689298,9,100,100
5024251034005721621,1,0.8181377805040615,2.587178826227735,10,100,100
-2931155045227159791,1,0.6001971980073035,1.6976140350405173,8,100,100
5872845962420620183,1,0.8631045641268991,2.441228360668759,8,100,76
3366606900654441491,1,0.28061953884475344,0.7424495128088472,7,100,100
3475414091580580387,1,0.18028894317109337,0.5099341371569449,8,100,100
8704046441982292961,1,0.23397162700088214,0.6617716962302932,8,100,100
5297174100764498711,1,0.3063780600353413,0.9191341801060239,9,100,100
2461403814842235149,1,0.19208607874267739,0.5762582362280322,9,100,100
8874155628093512783,1,0.2748855289090123,0.7774936861664534,8,100,100
-3987085921377590111,1,0.4413736483714613,1.2483931992020283,8,100,100
-5252654481641015122,1,0.24519947208215653,0.8493958872707231,12,100,100
4935647557411468240,1,0.2839948651418197,0.8032587798557591,8,100,100
6655612156292942474,1,0.15014572824530403,0.42467625043378815,8,100,100
380411544211116045,1,0.1258242973801852,0.41731198392017216,11,100,100
-1632922854823814808,1,0.22123328191709773,0.7337477872579313,11,100,100
-554190377840485201,1,0.32179810938712633,0.9101825012825898,8,100,100
-1418263699326033825,1,0.623760874585391,1.7642621770327265,8,100,100
-3646009549730386860,1,0.28277078896813906,0.7997965696033653,8,100,100
-3326481077280280719,1,0.16068778865280745,0.5566388282051044,12,100,100
-568636936416150712,1,0.12557619074223197,0.3551831041176304,8,100,100
7769061837730635466,1,0.211181018128809,0.5587324555862515,7,100,100
5163503063546066409,1,0.12395204513647813,0.35058932663177883,8,100,100
2948006481997108356,1,0.3087659061586935,0.8733218641760855,8,100,100
797823664220494096,1,0.3693724132696507,1.108117239808952,9,100,100
8396894601969104271,1,0.24423890265314183,0.77235122560407,10,100,100
2422605926552012591,1,0.3823800957073236,1.0815342346616383,8,100,100
4813380737845046147,1,0.43692460692086316,1.2358094096840364,8,100,100
1686977533775896988,1,0.30445616598748837,0.9133684979624651,9,100,100
-4346356527042289819,1,0.8938400356286661,2.681520106885998,9,100,81
6378807296590501467,1,0.24945142901640693,0.7055551881367043,8,100,100
7550329590348463483,1,0.08389290400222867,0.2372849652536318,8,100,100
1696585547939608356,1,0.282645683965691,0.8938041321477167,10,100,100
8363516192822112952,1,0.5978889592696964,1.6910853499846796,8,100,100
5478464760366680266,1,0.42550493177903753,1.203509690757107,8,100,100
-8299256126645328547,1,0.2531445892578643,0.7160010227396765,8,100,100
-8464915571535251869,1,0.6082612493247262,1.720422616522061,8,100,100
-8763258719371316497,1,0.3275436793067603,0.9264334270904083,8,100,100
-8904648380591290777,1,0.20967051746843957,0.6290115524053187,9,100,100
-728768458666744436,1,0.7999373328363273,2.2625644502913893,8,100,61
