conv_id,turn_id,entropy,num_retrieved_documents,num_unique_titles
-4469503464110108318,1,0.9761261109166691,100,74
4790842463458965203,1,0.987926902621601,100,93
-6631915997977101143,1,0.9960426194872123,100,95
-3098213414945179817,1,0.9877348076383887,100,89
-927805218867163489,1,0.9685412930625732,100,85
-8765341210106443690,1,0.9502723894057352,100,74
-8984315366060644345,1,0.8450989706015177,100,47
-3359151041540098032,1,0.9595597982339747,100,81
6601536662148726350,1,0.8758541828292783,100,46
-4757397641844293607,1,0.9679753647278372,100,78
-6857918454805495301,1,0.988380248162388,100,92
-4132174036373265970,1,0.9874196320352948,100,85
1561260788294720798,1,0.9871313284524318,100,88
-3609553841261159056,1,0.995648390409977,100,96
128788970421661020,1,0.9816977621395688,100,88
4722519916015127979,1,0.9871313284524318,100,88
-1911980845281550523,1,0.996794771277113,100,96
-8524801800420428358,1,0.9890813133401191,100,93
4776000106366522865,1,0.9999999999999979,100,100
4723481094198751540,1,0.9967947712771132,100,96
-7461719336882424985,1,0.9991702919875756,100,99
6629199459601104475,1,0.9583261309078122,100,78
-1688500492894023725,1,0.9799342014649278,100,87
-4920697783415402962,1,0.9554001104099415,100,75
-4950316745090894056,1,0.9301051667666854,100,64
-8652199953083038138,1,0.9975671417492391,100,97
7030758716024791080,1,0.9915991422025683,100,92
1237920926774398276,1,0.995648390409977,100,96
4737873499269724327,1,0.9454961200161297,100,74
4123548744340087331,1,0.9225796567586253,100,73
-3430387669519489370,1,0.9999999999999979,100,100
6389345907245133102,1,0.9975671417492393,100,97
7063169977317265636,1,0.9909283860768152,100,91
-1672733591597131629,1,0.9991702919875756,100,99
3459755935653104243,1,0.9203065154442843,100,61
-7563488770313519534,1,0.994159582272691,100,94
3630976503357786326,1,0.9960426194872125,100,95
5998037098651415370,1,0.9867644435392965,100,86
7208068189874944399,1,0.9972179385345973,100,98
-3713688239328074547,1,0.9915991422025682,100,92
2034739379280412436,1,0.9918561959909709,100,94
8651809831547260844,1,0.8354826745694555,100,51
1533477128984345682,1,0.9260782202519583,100,51
-5492391637682725131,1,0.9808203067365479,100,90
-2558199766533138150,1,0.980173352238102,100,89
-6363994615218497826,1,0.9920883604520063,100,91
3855307908076704970,1,0.9848269066568865,100,86
4063304367414770942,1,0.8747478606645528,100,57
-4110639543763413474,1,0.9013836521012977,100,72
5150378125952226530,1,0.9596622163767403,100,81
-229557364858904345,1,0.9946013512818573,100,93
-6875166619428307308,1,0.9805144786295252,100,84
5693531505008967478,1,0.9450563692319119,100,77
7754002205765507756,1,0.9850640649941047,100,85
-3944861237014469052,1,0.985962669123358,100,88
-2590664031903851316,1,0.9983591639548401,100,98
3204171409264914923,1,0.9915428539158005,100,93
3240942651859718397,1,0.9883629865840143,100,90
2094392886389474592,1,0.9848269066568865,100,86
4113432615092381478,1,0.9911082848606676,100,94
-1617571755505770769,1,0.9991702919875756,100,99
-5968852733411945019,1,0.9975671417492393,100,97
9118807424034544000,1,0.9748975089967609,100,87
6915912596627348551,1,0.9138611974979823,100,58
1332897475571730747,1,0.9546675004331726,100,78
-4283713808554560002,1,0.9660867170862741,100,78
1109919554091311092,1,0.9873141940183734,100,87
8505647719348789352,1,0.8924966442683578,100,60
-8086186598590428328,1,0.9737258589541216,100,87
2217144977440365678,1,0.877054691689149,100,56
3141501970999254639,1,0.9843103519156168,100,92
6267368935580291991,1,0.9845663588702548,100,84
2375410666129136218,1,0.7714232193536964,100,47
-1120514028652364195,1,0.9908476739112034,100,92
369553729358573631,1,0.9519386946057017,100,81
-3521200059945079578,1,0.994159582272691,100,94
-228017844504433803,1,0.9595463543433652,100,83
-6567021105969776914,1,0.9864450249798915,100,90
3191215928530494096,1,0.9846208016354856,100,87
-2071940157427414850,1,0.994159582272691,100,94
-3800524559144424177,1,0.7415547203172392,100,49
-6839117089970381436,1,0.9735526862903275,100,86
-4490620988150231901,1,0.9999999999999979,100,100
1022217780810569079,1,0.9271599650873528,100,80
-862554052027960093,1,0.8471253442570356,100,65
-3516190339598522976,1,0.9975671417492391,100,97
-7748524737773999409,1,0.9922925298448212,100,93
3388798511401254812,1,0.9635257982804634,100,78
1459126538041943679,1,0.8978691692666781,100,67
-8834069158837396685,1,0.9960426194872125,100,95
-1757904552409029500,1,0.986175535112708,100,93
1004431282200370974,1,0.9991702919875756,100,99
8184930622224282678,1,0.9793088644515742,100,93
8631327196287980755,1,0.9836679593232592,100,81
-2593355371932719161,1,0.9948936026028745,100,95
2837484115382116119,1,0.896120934338079,100,58
7199599312216372048,1,0.9960426194872127,100,95
-8850169184954446631,1,0.9699648935179584,100,77
-3897740693502172696,1,0.9545673340652113,100,74
-3471432714621884410,1,0.9854675226564612,100,92
6373189865465953269,1,0.8790247913732987,100,67
8092598956660291215,1,0.9752697071257244,100,86
62966941368680868,1,0.9507046062757148,100,73
5133876537670324411,1,0.988380248162388,100,92
8932763630388059887,1,0.9262669186325628,100,71
8923681797804610584,1,0.9590429031202127,100,73
-2938945366077744797,1,0.960410395396369,100,78
3527566788119942912,1,0.9814909194853852,100,91
618489770509518870,1,0.9817878325236051,100,85
-652117253746563674,1,0.9511620180228344,100,72
-2633917229646894638,1,0.9371331630591405,100,70
-5955439966878959532,1,0.9490810777558293,100,79
-586025167603300600,1,0.9840640607201171,100,86
4647818796298534404,1,0.9883629865840141,100,90
