Model,AUC-ROC,Average Precision,Accuracy,F1 Score
No Penalty,0.7157524768360676,0.7273306338509549,0.6558441558441559,0.6947275143996455
ElasticNet,0.7153694195980906,0.7270119633695759,0.6593406593406593,0.6995594713656388
L1,0.7150986723356463,0.7271251986113436,0.6613386613386614,0.7007943512797882
L1,0.7150986723356463,0.7271251986113436,0.6613386613386614,0.7007943512797882
BOLASSO,0.7150986723356463,0.7271251986113436,0.6613386613386614,0.7007943512797882
LARS-CV,0.7146243632425495,0.7249994042032608,0.6598401598401599,0.7017082785808147
L2,0.7145080421964622,0.7249087097976062,0.6593406593406593,0.7016622922134733
LARS-Traps,0.7145080421964622,0.7249087097976062,0.6593406593406593,0.7016622922134733
RandomForest,0.6403789458906581,0.6610584793556873,0.5984015984015985,0.6085686465433301
