metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6488188976377953,0.6531881804043546,0.7188854427611436,0.7390700233167866,0.4,0.6,635
single_metric,0.647244094488189,0.653250773993808,0.716559306533063,0.7406087054162167,0.4,0.6,635
