error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.4479058370850118,0.44899736489761316,0.12026705244201329,0.1206797486277515,0.0010915278126013561,68
False Negative,0.5336611179294277,0.5289114503712078,0.10272800759511937,0.09750855128332749,0.004749667558219928,26
