Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.5007,0.5332,-
n(σ%),0.5454,0.5643,-
NQC,0.5348,0.5540,-
RoBERTa,0.7179,0.7320,-
SMV,0.5368,0.5570,-
WIG,0.5535,0.5766,-
L1 Logistic Regression,0.7146,0.7235,0.2109
L2 Logistic Regression,0.7144,0.7224,0.2227
E-Net,0.7146,0.7226,0.2504
No Penalty Logistic Regression,0.7146,0.7213,0.2694
BOLASSO,0.7146,0.7235,0.2109
LARS-Traps,0.7144,0.7224,0.2227
LARS-CV,0.7138,0.7222,0.1518
Random Forest,0.6046,0.6318,0.00e+00
