error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.4989722063285783,0.499404376056424,0.08053037490021955,0.07325361683534248,0.0004321697278457104,36
False Negative,0.518650452520735,0.5302148238139573,0.12157047323803878,0.0981974916140171,-0.011564371293222298,19
