Model,AUC-ROC,Average Precision,Accuracy,F1 Score
No Penalty,0.6871367967724376,0.6633608757531204,0.6351553414188403,0.6301785112832604
L1,0.6866858959282607,0.6635927293733054,0.6356537630835687,0.6301231236296171
BOLASSO,0.6866858959282607,0.6635927293733054,0.6356537630835687,0.6301231236296171
ElasticNet,0.6863083352103598,0.6634355530482896,0.6344907791992025,0.6283783783783784
LARS-CV,0.6861496342513533,0.6632279464815772,0.6348230603090215,0.6285907401149037
L2,0.6861223320491073,0.6632003376760329,0.6348230603090215,0.6285279702551969
LARS-Traps,0.6861223320491073,0.6632003376760329,0.6348230603090215,0.6285279702551969
RandomForest,0.6459839496764038,0.6167893789356097,0.6021764412693138,0.5821481546112904
