error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.4857973334942324,0.44940594551310664,0.10862894334533091,0.10181315994989833,-0.036391387981125733,58
False Negative,0.5753138739749513,0.5409392286954458,0.118633394692953,0.12280328099217099,0.03437464527950551,28
