Model,AUC-ROC,Average Precision,Accuracy,F1 Score
BOLASSO,0.49772384385868373,0.16769494391134754,0.48277634961439586,0.26676384839650147
L1,0.4964070051700192,0.1673204105142551,0.48277634961439586,0.2656934306569343
ElasticNet,0.49286548591066837,0.16556554265537188,0.515681233933162,0.26291079812206575
LARS-CV,0.49285425487707635,0.1658976428375825,0.5120822622107969,0.24861441013460014
RandomForest,0.4909374918107046,0.17012451651991672,0.8210796915167096,0.02247191011235955
L2,0.49070444786367023,0.1650720084083318,0.5131105398457584,0.24900872323552736
LARS-Traps,0.49070444786367023,0.1650720084083318,0.5131105398457584,0.24900872323552736
No Penalty,0.4851432143966876,0.1617006648428498,0.5084832904884319,0.24126984126984127
