Metric,AUC-ROC,AUC-PR,p-value
nqc,0.5469,0.1954,-
clarity,0.5331,0.1752,-
wig,0.5335,0.1930,-
smv,0.5387,0.1911,-
n_sigma_50,0.5224,0.1854,-
ElasticNet,0.5417,0.1849,0.7185
