conv_id,turn_id,nqc,num_retrieved_documents,score_mean,score_std
food_level3_dial26,1,0.015413784072152836,100,72.52977493,1.1179582895728641
food_level3_dial26,2,0.01427846448774689,100,73.64588344,1.0515501313667868
food_level3_dial26,3,0.011384834788418726,100,72.13388091,0.8212323168078215
food_level3_dial26,4,0.0196055451790555,100,70.15399894000001,1.375407395709582
food_level3_dial26,5,0.011263791411225734,100,75.09662804999999,0.8458727540416034
food_level3_dial26,6,0.01689391171674549,100,72.93830291,1.2322132501307808
hobby_level1_dial16,1,0.011915641728572565,100,74.88879610000001,0.8923480638117224
hobby_level1_dial16,2,0.01549290277658892,100,78.24465045,1.2122367622100343
hobby_level1_dial16,3,0.006652329952407705,100,79.42247182000001,0.528344488182443
hobby_level1_dial16,4,0.020868944030068136,100,78.31915690000001,1.6344381018282248
hobby_level1_dial16,5,0.016266729941029644,100,72.43744475000001,1.1783203513665057
hobby_level1_dial16,6,0.014262338072926734,100,70.87707832999999,1.0108728527637691
top25_dial5,1,0.022428575349378754,100,75.0820082,1.6839824782963737
top25_dial5,2,0.02926516535631371,100,71.96698195,2.106125626961594
top25_dial5,3,0.03083906399647452,100,74.1169382,2.285697000372547
food_level2_dial36,1,0.020284733768472587,100,69.84692486,1.4168262753316094
food_level2_dial36,2,0.021702502494896247,100,70.56402508999999,1.531415930565646
food_level2_dial36,3,0.020044501693390327,100,68.50059353,1.3730602630103275
food_level2_dial36,4,0.02066137643532985,100,73.59301205,1.5205329249748158
food_level2_dial36,5,0.021381171511226312,100,79.93754983,1.7091584631024297
food_level3_dial27,1,0.01961753313577116,100,75.23833476,1.475990525234543
food_level3_dial27,2,0.016100388643052042,100,67.89082929,1.093068736868101
food_level3_dial27,3,0.016440358682982582,100,69.87086989,1.1487021624836076
food_level3_dial27,4,0.02274820144971118,100,75.92972088,1.7272645865985814
food_level3_dial27,5,0.023140629602164096,100,78.20740749000001,1.8097686488716043
food_level3_dial27,6,0.01614432253852699,100,77.45397281,1.2504419189349396
food_level2_dial37,1,0.021451552440415793,100,72.61344306999999,1.5576710818952515
food_level2_dial37,2,0.01553115032847812,100,71.84763985000001,1.1158764952567053
food_level2_dial37,3,0.01840521268259465,100,75.47977356,1.3892212856058843
food_level2_dial37,4,0.015448546884456736,100,79.02375205,1.220802138530109
food_level2_dial37,5,0.02026859273944847,100,82.72473618,1.676713987110738
food_level2_dial37,6,0.015914783326772833,100,74.81628784,1.190685010287069
food_level2_dial12,1,0.019074265277544897,100,72.6657095,1.3860450195840144
food_level2_dial12,2,0.015333442713363123,100,79.60962247999998,1.2206895857295448
food_level2_dial12,3,0.01337762090661936,100,74.23842127,0.9931334564559674
food_level2_dial12,4,0.012684915762949275,100,81.30039178999999,1.0312886213509227
food_level2_dial12,5,0.018343030702811257,100,76.86894816,1.4100094761916868
food_level2_dial12,6,0.026644997965374232,100,74.55928383999999,1.9866319662165597
hobby_level2_dial2,1,0.016543896130752734,100,73.7588307,1.220258433826576
