conv_id,turn_id,nsv,score_mean,score_std,score_range,num_retrieved_documents
food_level3_dial26,1,0.2569037506986679,72.52977493,1.1179582895728641,4.35166199999999,100
food_level3_dial26,2,0.23075845610241721,73.64588344,1.0515501313667868,4.556929999999994,100
food_level3_dial26,3,0.20830168689516915,72.13388091,0.8212323168078215,3.9425140000000027,100
food_level3_dial26,4,0.1563208977446544,70.15399894000001,1.375407395709582,8.798614999999998,100
food_level3_dial26,5,0.14671867129234248,75.09662804999999,0.8458727540416034,5.765270000000001,100
food_level3_dial26,6,0.16365153490138656,72.93830291,1.2322132501307808,7.529494,100
hobby_level1_dial16,1,0.18571502443983048,74.88879610000001,0.8923480638117224,4.804931999999994,100
hobby_level1_dial16,2,0.1680872388480278,78.24465045,1.2122367622100343,7.211950000000002,100
hobby_level1_dial16,3,0.20422267719935125,79.42247182000001,0.528344488182443,2.5871000000000066,100
hobby_level1_dial16,4,0.2354002534595894,78.31915690000001,1.6344381018282248,6.94323,100
hobby_level1_dial16,5,0.18088933309689637,72.43744475000001,1.1783203513665057,6.514039999999994,100
hobby_level1_dial16,6,0.1838289889431901,70.87707832999999,1.0108728527637691,5.498985000000005,100
top25_dial5,1,0.22302808518283118,75.0820082,1.6839824782963737,7.550539999999998,100
top25_dial5,2,0.2260143076939646,71.96698195,2.106125626961594,9.318550000000002,100
top25_dial5,3,0.25173706183822664,74.1169382,2.285697000372547,9.079700000000003,100
food_level2_dial36,1,0.19292769639392177,69.84692486,1.4168262753316094,7.343819999999994,100
food_level2_dial36,2,0.1872673160626638,70.56402508999999,1.531415930565646,8.177700000000002,100
food_level2_dial36,3,0.22376904121053695,68.50059353,1.3730602630103275,6.1360600000000005,100
food_level2_dial36,4,0.24102579577604719,73.59301205,1.5205329249748158,6.3085900000000095,100
food_level2_dial36,5,0.1680738849889646,79.93754983,1.7091584631024297,10.169089999999997,100
food_level3_dial27,1,0.19961355396018304,75.23833476,1.475990525234543,7.394239999999996,100
food_level3_dial27,2,0.19407146935853928,67.89082929,1.093068736868101,5.632300000000001,100
food_level3_dial27,3,0.20757701902173342,69.87086989,1.1487021624836076,5.53385999999999,100
food_level3_dial27,4,0.16189025359064158,75.92972088,1.7272645865985814,10.66935500000001,100
food_level3_dial27,5,0.21702715954897722,78.20740749000001,1.8097686488716043,8.338904,100
food_level3_dial27,6,0.20348800315944857,77.45397281,1.2504419189349396,6.145040000000009,100
food_level2_dial37,1,0.26444075554611035,72.61344306999999,1.5576710818952515,5.8904349999999965,100
food_level2_dial37,2,0.18000112839916044,71.84763985000001,1.1158764952567053,6.199275,100
food_level2_dial37,3,0.2491575074956641,75.47977356,1.3892212856058843,5.57567499999999,100
food_level2_dial37,4,0.16397796006430537,79.02375205,1.220802138530109,7.444916000000006,100
food_level2_dial37,5,0.18342323594425877,82.72473618,1.676713987110738,9.141230000000007,100
food_level2_dial37,6,0.20093660389526413,74.81628784,1.190685010287069,5.925674999999998,100
food_level2_dial12,1,0.19937858326180743,72.6657095,1.3860450195840144,6.9518249999999995,100
food_level2_dial12,2,0.21091026962768522,79.60962247999998,1.2206895857295448,5.787719999999993,100
food_level2_dial12,3,0.2030105000288155,74.23842127,0.9931334564559674,4.892030000000005,100
food_level2_dial12,4,0.24549756388670796,81.30039178999999,1.0312886213509227,4.200810000000004,100
food_level2_dial12,5,0.2208474653133486,76.86894816,1.4100094761916868,6.384540000000001,100
food_level2_dial12,6,0.24965767391765964,74.55928383999999,1.9866319662165597,7.957424000000003,100
hobby_level2_dial2,1,0.21257176415429443,73.7588307,1.220258433826576,5.740454,100
hobby_level2_dial2,2,0.24110767162000438,73.35811561999999,0.6738238509840953,2.794700999999989,100
hobby_level2_dial2,3,0.20659720696102182,76.35986025,1.2691935798566139,6.143324000000007,100
hobby_level2_dial2,4,0.2962433059235123,81.26391679,2.677168530229135,9.037059999999997,100
hobby_level2_dial2,5,0.2886007091006747,77.22232400000001,1.4550399266771277,5.041706000000005,100
hobby_level2_dial2,6,0.20699979101962698,80.45176976,0.9924170280874882,4.794290000000004,100
hobby_level3_dial33,1,0.20538032612893872,76.24113287,0.7977403165532843,3.884209999999996,100
hobby_level3_dial33,2,0.2167640068835965,74.68648409,1.2731373827499775,5.873379999999997,100
hobby_level3_dial33,3,0.2182406913429339,73.52375482000001,1.0470315407868602,4.797600000000003,100
hobby_level3_dial33,4,0.13744989668783777,71.29749785000001,1.047552395622886,7.621340000000004,100
hobby_level3_dial33,5,0.2061839708373393,77.27179329999998,1.0763195027253707,5.220190000000002,100
hobby_level3_dial33,6,0.1910305421120771,73.24497034000001,0.4950556498834498,2.5915000000000106,100
food_level1_dial1,1,0.1771982680766051,75.31521864,0.9752142123249593,5.503520000000009,100
food_level1_dial1,2,0.2548371513549361,77.05534775,1.7551424608983648,6.887309999999999,100
hobby_level1_dial17,1,0.27716386242626395,78.76857688000001,1.315610934140123,4.746690000000001,100
hobby_level1_dial17,2,0.2108607497527407,75.84770585,1.0566095110622504,5.0109350000000035,100
hobby_level1_dial17,3,0.14662370145359307,74.67731388,1.1297385521739645,7.705020000000005,100
hobby_level1_dial17,4,0.19391256587553182,70.76869886,1.3964109258855144,7.2012399999999985,100
hobby_level1_dial17,5,0.16971775559299887,70.68941082999999,1.2930396961904933,7.618764999999996,100
hobby_level1_dial17,6,0.24341611297409432,73.71636919999999,2.5755603326870293,10.580894999999998,100
top25_dial23,1,0.20809816858925662,80.10725626,0.8229814346825769,3.954774999999998,100
top25_dial23,2,0.18966296887283426,74.47902506999999,0.8469229178344413,4.465409999999991,100
top25_dial23,3,0.2225176140819075,77.28049062999999,0.9519234549963635,4.277968999999999,100
top25_dial23,4,0.20640793000892327,74.95865152,1.0848829698379223,5.2560140000000075,100
top25_dial23,5,0.17106354015446024,79.22637968000001,1.1782131336428983,6.88757600000001,100
top25_dial23,6,0.19124014312804807,78.26718740000003,0.9537344827544615,4.987104000000002,100
food_level3_dial28,1,0.2090512578174197,69.16217882000001,0.8206348935874387,3.925520000000006,100
food_level3_dial28,2,0.20637942400989312,71.56463118,1.2739368447340265,6.172789999999992,100
food_level3_dial28,3,0.1970654817656133,74.69965325999999,1.266145720344065,6.424999999999997,100
food_level3_dial28,4,0.19972577628958432,71.30649277,1.012830382770993,5.071105000000003,100
food_level3_dial28,5,0.18860019015216672,78.44516085000001,1.018981554966677,5.402866000000003,100
food_level3_dial28,6,0.17635188033019966,80.71174930000001,1.3608979375066117,7.716945999999993,100
hobby_level2_dial20,1,0.30197587260650305,74.30820136000001,3.1345004983793237,10.37997,100
hobby_level2_dial20,2,0.17836087079043167,71.70966516,1.009469912216958,5.659704999999988,100
hobby_level2_dial20,3,0.2193570144467855,72.08486167,1.4549380440017716,6.632739999999998,100
hobby_level2_dial20,4,0.16449189897907704,75.46851029,1.0602657622332368,6.445702000000011,100
hobby_level2_dial20,5,0.17303189480266787,72.01401686,1.0249639456178161,5.923554999999993,100
hobby_level2_dial20,6,0.25762111816518446,73.93008984,1.3239226548844292,5.139030000000005,100
top25_dial50,1,0.21690493845392458,71.67472416000001,0.6501868687415752,2.997565999999992,100
top25_dial50,2,0.2351740989007705,71.53246075999999,1.0546594121894057,4.484589999999997,100
top25_dial50,3,0.18057548862640607,76.06461231,1.0520291852276695,5.825980000000001,100
top25_dial50,4,0.17911418435333976,72.95541655,0.7661895818409095,4.277660000000012,100
top25_dial50,5,0.15865754467370913,77.34846614,0.9515898751421855,5.9977599999999995,100
top25_dial50,6,0.22667581880139195,74.3378679,0.837889030133842,3.6964200000000034,100
hobby_level3_dial34,1,0.24070174709887407,70.71537645000001,1.782598626734725,7.405839999999998,100
hobby_level3_dial34,2,0.23867137151871837,69.43256848,1.2413608305471497,5.201129999999992,100
hobby_level3_dial34,3,0.246760967245132,71.65431867000001,1.0436024697169801,4.229203999999996,100
hobby_level3_dial34,4,0.15737015118480766,72.18478626,0.9364051185502518,5.9503349999999955,100
hobby_level3_dial34,5,0.1965722153338959,73.10640313,1.0401009400525567,5.29119,100
hobby_level3_dial34,6,0.1593763251564533,78.44463069999999,1.8835388953191192,11.818185,100
food_level1_dial10,1,0.24290736512296837,76.73994934,1.7141851303045317,7.0569500000000005,100
food_level1_dial10,2,0.23350916712395517,71.26520363,1.45474202939387,6.229914000000008,100
food_level1_dial10,3,0.18602775382228215,71.21117176999998,1.235418870410452,6.641046000000003,100
food_level1_dial10,4,0.1681052173256837,72.10824359,1.5063663090937216,8.960853999999998,100
food_level1_dial10,5,0.20320327858799367,73.54352490000001,0.8082247843214596,3.9774200000000093,100
food_level1_dial10,6,0.18543691425029102,75.15947548,1.415676213101227,7.634274000000005,100
food_level2_dial38,1,0.23134944219486936,77.35507623000001,1.3485058231264102,5.828870000000009,100
food_level2_dial38,2,0.21041512828955056,75.10965456,0.8736730707761721,4.152139999999989,100
food_level2_dial38,3,0.18439083483475704,77.08184191999999,1.5953126248233527,8.651800000000009,100
food_level2_dial38,4,0.20616705041180922,73.59141347999999,1.6753753017614854,8.1263,100
food_level2_dial38,5,0.26814775116606976,77.84059096000001,1.049431083396065,3.9136299999999977,100
food_level2_dial38,6,0.23215552005225304,79.10668084999999,1.074772105525105,4.62953499999999,100
food_level2_dial38,7,0.1941121434806375,73.10802063,1.109629256805593,5.7164339999999925,100
top25_dial24,1,0.2469864004065417,67.84515367,0.9428162465438862,3.817280000000011,100
top25_dial24,2,0.18737712051380487,70.18341579999999,0.8734003603677404,4.661189999999991,100
top25_dial24,3,0.17486032896588333,74.04659602999999,1.3984411093964269,7.997474999999994,100
top25_dial24,4,0.2653168652107414,73.37971900000001,2.3072442781758067,8.696184000000002,100
top25_dial24,5,0.15134826293483788,73.29899113,0.819876242557456,5.417149999999992,100
top25_dial24,6,0.22177807152096102,76.25964858,0.9283319584567279,4.185859999999991,100
food_level3_dial29,1,0.2581407665098872,69.50927109999999,2.1132123359237927,8.186278999999999,100
food_level3_dial29,2,0.22422461447895387,68.68006828,1.4420961235291008,6.431479999999993,100
food_level3_dial29,3,0.23358839475798082,72.22290749000001,1.9848356285177746,8.49714999999999,100
food_level3_dial29,4,0.22121104510917136,68.58238768999999,1.4545511060108458,6.575400000000002,100
food_level3_dial29,5,0.24336317189744844,78.3003787,1.8155014305135626,7.46005000000001,100
food_level3_dial29,6,0.1951369531266147,77.91731415000001,1.6877609726569358,8.649110000000007,100
hobby_level2_dial9,1,0.20916154578410476,73.03861173,1.6115246610257856,7.704688999999988,100
hobby_level2_dial9,2,0.16195924722276112,68.79109170000001,1.3296199881629893,8.20959599999999,100
hobby_level2_dial9,3,0.2029483771337072,73.21914163999999,1.4399471485364486,7.0951399999999865,100
hobby_level2_dial9,4,0.1847603593413819,74.39179379000001,0.7680534327911089,4.157025000000004,100
hobby_level2_dial9,5,0.17435850262403685,75.27899883,1.3305534462803816,7.631135999999998,100
top25_dial51,1,0.17025784590002302,69.35828601,0.5049599132939657,2.965853999999993,100
top25_dial51,2,0.19000663470852647,66.94558077,1.0736875913445945,5.650790000000001,100
top25_dial51,3,0.20213576511738574,74.29295096,0.7817428900514531,3.867414999999994,100
top25_dial51,4,0.2052404765256099,77.52803973,1.009421921267315,4.918239999999997,100
top25_dial51,5,0.2365808422258129,74.38558991,0.8835229843344093,3.7345499999999987,100
top25_dial51,6,0.20070546194947853,73.01478761999999,0.8868451823884459,4.418640000000011,100
hobby_level3_dial35,1,0.21890320808244026,79.06461981000001,2.1343281691246014,9.750100000000003,100
hobby_level3_dial35,2,0.20367365963452858,67.0622765,0.9972534498783296,4.896329999999992,100
hobby_level3_dial35,3,0.21726101902589698,76.04027977000001,0.7649510629729968,3.520885000000007,100
hobby_level3_dial35,4,0.1942517367824021,75.78752966,0.9426889154730023,4.852924000000002,100
hobby_level3_dial35,5,0.15942642599700785,76.90400755,0.8879868587643439,5.569884999999999,100
hobby_level3_dial35,6,0.1566277413753559,79.21398847,1.5098569687553287,9.639780000000002,100
hobby_level3_dial35,7,0.20313740828944443,72.98463723,0.8486187113736514,4.17756,100
food_level1_dial11,1,0.207374165949071,75.33090177999999,0.9024260104772536,4.351680000000002,100
food_level1_dial11,2,0.20372053487694797,74.3388221,1.7328937253863415,8.506230000000002,100
food_level1_dial11,3,0.17299796675693982,75.05236184000002,1.3657852129425232,7.894805000000005,100
food_level1_dial11,4,0.16437681560099904,79.78490016999999,1.307116218818366,7.951950000000011,100
food_level1_dial11,5,0.1729511941626722,75.15227217,1.5176270123413131,8.774885999999995,100
food_level1_dial11,6,0.17489928749966696,73.0022022,1.5311897428776093,8.754694,100
hobby_level2_dial21,1,0.19464323301966338,75.46870213,1.1983979481626015,6.156895000000006,100
hobby_level2_dial21,2,0.23977136743282784,72.52269708,1.2037841387648838,5.02055,100
hobby_level2_dial21,3,0.24868274763481563,78.25845136000001,1.4393309804157377,5.787819999999996,100
hobby_level2_dial21,4,0.2504648653590282,79.04175183999999,2.118145048935822,8.45685499999999,100
food_level2_dial4,1,0.25842453178847463,70.22356420999999,1.6489232077939555,6.380675999999994,100
food_level2_dial4,2,0.21898573698886226,74.45591811,1.866411056641334,8.522980000000004,100
food_level2_dial4,3,0.1880040428815224,74.26506005,2.237072514514066,11.899066000000005,100
food_level2_dial4,4,0.21262679089087105,77.56920749000001,1.8778143542598904,8.831503999999995,100
food_level2_dial4,5,0.23883677583628288,71.37772122,1.1094732515278012,4.645319999999998,100
