conv_id,turn_id,acc,wacc,mean_similarity,num_edges,num_nodes,num_documents,num_documents_for_network
food_level3_dial26,1,0.8225968870801603,0.590054370513983,0.7631571888923645,700,50,100,50
food_level3_dial26,2,0.8112109073441348,0.6094506253830031,0.7469086647033691,681,50,100,50
food_level3_dial26,3,0.7964581176837953,0.5854518966796967,0.7567963600158691,701,50,100,50
food_level3_dial26,4,0.7663151023551048,0.5387664758021844,0.6903481483459473,655,50,100,50
food_level3_dial26,5,0.7961836304639874,0.5622226339584807,0.7384432554244995,648,50,100,50
food_level3_dial26,6,0.800936044533972,0.603313072666303,0.7167352437973022,661,50,100,50
hobby_level1_dial16,1,0.8357750583606286,0.6728696887404014,0.7398452758789062,723,50,100,50
hobby_level1_dial16,2,0.8277391822048347,0.6676242691220214,0.7786217331886292,700,50,100,50
hobby_level1_dial16,3,0.8057029032071199,0.5974498226181933,0.7955085635185242,696,50,100,50
hobby_level1_dial16,4,0.8087055685062381,0.5789647779139984,0.7724331617355347,703,50,100,50
hobby_level1_dial16,5,0.8021597474308402,0.6199456557947933,0.7637348771095276,691,50,100,50
hobby_level1_dial16,6,0.7880114611919344,0.574737347951391,0.7531469464302063,650,50,100,50
top25_dial5,1,0.8536355389647217,0.677365112302218,0.6808624863624573,731,50,100,50
top25_dial5,2,0.8317613067012998,0.6627372056157544,0.7756580710411072,676,50,100,50
top25_dial5,3,0.7835547796577477,0.5320500966987427,0.7887114882469177,610,50,100,50
food_level2_dial36,1,0.8491402153206807,0.6415158854691114,0.6888176202774048,657,50,100,50
food_level2_dial36,2,0.8309421604809589,0.6070854002144401,0.7251358032226562,748,50,100,50
food_level2_dial36,3,0.7678194626817084,0.5783131181958723,0.7372651100158691,659,50,100,50
food_level2_dial36,4,0.8328572029412604,0.6385377448552516,0.7452676296234131,670,50,100,50
food_level2_dial36,5,0.8087013564490613,0.6267906016379026,0.7689339518547058,678,50,100,50
food_level3_dial27,1,0.8231861943150471,0.6023390510203822,0.7807237505912781,687,50,100,50
food_level3_dial27,2,0.8129125031045369,0.6403865546258658,0.7204937934875488,703,50,100,50
