Model,AUC-ROC,Average Precision,Accuracy,F1 Score
No Penalty,0.5852904015081625,0.6017464545677647,0.5684315684315684,0.6638132295719844
L1,0.5827193052825799,0.5982365823216322,0.5634365634365635,0.667427701674277
L1,0.5827193052825799,0.5982365823216322,0.5634365634365635,0.667427701674277
BOLASSO,0.5827193052825799,0.5982365823216322,0.5634365634365635,0.667427701674277
ElasticNet,0.5709598491837471,0.5845172281950342,0.5594405594405595,0.6813583815028902
L2,0.566737194657254,0.5802311513613876,0.5604395604395604,0.6859386152748037
LARS-Traps,0.566737194657254,0.5802311513613876,0.5604395604395604,0.6859386152748037
LARS-CV,0.566737194657254,0.5802311513613876,0.5604395604395604,0.6859386152748037
RandomForest,0.545144599093498,0.5669835167022896,0.537962037962038,0.551623848763936
