Metric,AUC-ROC,AUC-PR,p-value
NQC,0.5103,0.4922,-
Clarity,0.5470,0.5176,-
WIG,0.5092,0.4945,-
SMV,0.5090,0.4917,-
n(σ%),0.5197,0.4994,-
AvgIDF,0.5577,0.5310,-
AvgICTF,0.5501,0.5214,-
MaxIDF,0.5393,0.5211,-
MaxSCQ,0.5361,0.5165,-
Simplified Clarity,0.5471,0.5210,-
RoBERTa,0.6768,0.6466,-
L1,0.6798,0.6499,0.0076
