metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6818897637795276,0.6994047619047619,0.7281690140845071,0.7564583189746515,0.4,0.6,635
single_metric,0.6803149606299213,0.6974664679582713,0.727917505030181,0.7596029295037987,0.4,0.6,635
