Model,AUC-ROC,Average Precision,Accuracy,F1 Score
L1,0.6820895672054872,0.6844045576254771,0.6283716283716284,0.6374269005847953
BOLASSO,0.6820895672054872,0.6844045576254771,0.6283716283716284,0.6374269005847953
ElasticNet,0.6815360394689343,0.6833902316396456,0.6298701298701299,0.6394160583941606
L2,0.6809063013918416,0.6822290495870327,0.6303696303696303,0.6421663442940039
LARS-CV,0.6809063013918416,0.6822290495870327,0.6303696303696303,0.6421663442940039
LARS-Traps,0.6809063013918416,0.6822290495870327,0.6303696303696303,0.6421663442940039
No Penalty,0.6794262163571457,0.6802027247057811,0.6263736263736264,0.6444866920152091
RandomForest,0.5643175163451125,0.5850400362066053,0.534965034965035,0.5290844714213455
