error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.43810438456731343,0.4343680583148129,0.07660182208686574,0.1246789068809646,-0.0037363262525005325,224
False Negative,0.49204830077732015,0.534267437965957,0.07745520967055194,0.13490760962899417,-0.04221913718863679,162
