metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.645083932853717,0.6558139534883721,0.7094139363174897,0.6591273102337014,0.4,0.6,417
single_metric,0.6498800959232613,0.6588785046728972,0.6921550530687588,0.658397010607978,0.4,0.6,417
