error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.43742920147643655,0.43820229490355034,0.12783807270833314,0.12134592306417981,0.0007730934271137913,204
False Negative,0.5577100762478212,0.5537427235791471,0.13348438849097433,0.12718129130408526,0.003967352668674096,156
