conv_id,turn_id,n_sigma_50,sigma_50,query_length,num_retrieved_documents,num_filtered_documents
-4469503464110108318,1,0.554403959260555,1.5680911964392354,8,100,100
4790842463458965203,1,0.9154315697435084,2.746294709230525,9,100,100
-6631915997977101143,1,0.5895533766164797,1.7686601298494389,9,100,100
-3098213414945179817,1,0.3785677883826278,1.1357033651478834,9,100,100
-927805218867163489,1,0.8046874834944044,2.275999905259326,8,100,100
-8765341210106443690,1,0.6511822691221845,1.84182159313896,8,100,100
-8984315366060644345,1,0.7263558097420566,2.409049685209175,11,100,100
-3359151041540098032,1,0.4013571165510184,1.2692026434188821,10,100,100
6601536662148726350,1,0.7405636357669678,2.09463027500395,8,100,100
-4757397641844293607,1,0.8699668340420613,2.4606377910341335,8,100,100
-6857918454805495301,1,0.5394420712320005,1.4272295672054638,7,100,100
-4132174036373265970,1,0.3296640639303389,0.9889921917910168,9,100,100
1561260788294720798,1,0.5827598924370729,1.6482938869831893,8,100,100
-3609553841261159056,1,0.34370388131361074,0.9721413807879619,8,100,100
128788970421661020,1,0.6955571141897987,2.306901968029948,11,100,100
4722519916015127979,1,0.4270793810677867,1.2079629058319425,8,100,100
-1911980845281550523,1,0.36246256019217454,1.0873876805765237,9,100,100
-8524801800420428358,1,0.516009062608597,1.9307291207517543,14,100,100
4776000106366522865,1,0.5630534640178418,1.6891603920535256,9,100,100
4723481094198751540,1,0.678188959872072,1.9182080498055738,8,100,100
-7461719336882424985,1,0.2866792354216442,0.9930860024505741,12,100,100
6629199459601104475,1,0.5787903420703181,1.6370663030528139,8,100,100
-1688500492894023725,1,0.5637567913930115,1.5945450005358732,8,100,100
-4920697783415402962,1,0.9968090977161193,2.8194018901740474,8,100,100
-4950316745090894056,1,0.3004495565912681,0.7949148082601225,7,100,100
-8652199953083038138,1,0.44708175180336385,1.2645381537796783,8,100,100
7030758716024791080,1,0.6948283648961279,1.9652713943152516,8,100,100
1237920926774398276,1,0.33796537281906747,1.0687403483762148,10,100,100
4737873499269724327,1,0.45706251168432344,1.292768005752563,8,100,100
4123548744340087331,1,0.32900202941401174,0.9870060882420352,9,100,100
-3430387669519489370,1,0.7640136146935946,2.5339464946618144,11,100,100
6389345907245133102,1,0.6524301331270471,1.9572903993811412,9,100,100
7063169977317265636,1,0.5283489764825442,1.5850469294476326,9,100,100
-1672733591597131629,1,0.30380278911398534,0.9114083673419561,9,100,100
3459755935653104243,1,0.5188057325768336,1.4674042064941344,8,100,100
-7563488770313519534,1,0.43428245369088064,1.228336271820618,8,100,100
3630976503357786326,1,0.5432456181481079,1.6297368544443236,9,100,100
5998037098651415370,1,0.6803323248421145,2.3567403053159923,12,100,100
7208068189874944399,1,0.5696810682395317,1.611301385863077,8,100,100
-3713688239328074547,1,0.35392078160381235,1.0010391386995954,8,100,100
2034739379280412436,1,0.4831230129848014,1.4493690389544043,9,100,100
8651809831547260844,1,0.584872162975997,1.547426291998927,7,100,100
1533477128984345682,1,0.7335357880616414,2.4328629792981245,11,100,100
-5492391637682725131,1,0.7390870282552595,2.4512743601414955,11,100,100
-2558199766533138150,1,0.2921336529438414,1.1685346117753657,16,100,100
-6363994615218497826,1,0.586481727328566,1.7594451819856978,9,100,100
3855307908076704970,1,0.713535617474919,2.0181834949385826,8,100,100
4063304367414770942,1,0.24301515679403202,0.6873506612006886,8,100,100
-4110639543763413474,1,0.705264673972505,2.115794021917515,9,100,100
5150378125952226530,1,0.8259715437512576,2.3362003186145417,8,100,100
-229557364858904345,1,0.8663741623881102,2.4504761810777915,8,100,100
-6875166619428307308,1,0.3982988464028369,1.4902978207867141,14,100,100
5693531505008967478,1,0.632722660797088,1.898167982391264,9,100,100
7754002205765507756,1,0.6365281749290547,1.909584524787164,9,100,100
-3944861237014469052,1,0.37426292799401434,1.241289705095946,11,100,100
-2590664031903851316,1,0.6322863161574893,1.896858948472468,9,100,100
3204171409264914923,1,0.6820114478344258,2.156709565465897,10,100,100
3240942651859718397,1,0.34105246019729596,1.0231573805918879,9,100,100
2094392886389474592,1,0.4746683309069894,1.3425647823953293,8,100,100
4113432615092381478,1,1.2229864323772917,3.4591279985325043,8,100,100
-1617571755505770769,1,0.48330936320170953,1.5283584022029715,10,100,100
-5968852733411945019,1,0.6711741316651813,2.013522394995544,9,100,100
9118807424034544000,1,0.7844064595543492,2.2186365070296468,8,100,100
