Stratum,QPP_Range,QPP_Mean,Count,BERT_AUC,LogReg_AUC,L1_AUC,L2_AUC,ENet_AUC
1,0.258 - 0.996,0.7968302630949234,667,0.7295292465728116,0.7319402874773677,0.7319864760004434,0.7288641318405203,0.7301204596681816
2,0.996 - 1.519,1.2296478352124902,667,0.677612880014391,0.672881813275769,0.6747976254722072,0.6731516459794926,0.6734394675301313
3,1.520 - 10.925,2.348631716574024,668,0.688748968535859,0.6646127076382162,0.6816273813367775,0.6692049653786818,0.6737972231191476
