feature,threshold,direction,correction_direction,cohens_d,pvalue,error_median,correct_median
WIG,2.0534544372558625,低い,answer,-0.049739963371690225,0.06524694895066088,2.0534544372558625,2.1015231323242176
SClarity,7.91513789322196,低い,answer,-0.04279967450798956,0.08517791651324792,7.91513789322196,8.091712576199273
