feature,fn_mean,fn_std,fn_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_vs_all_pvalue,fn_vs_tp_pvalue,fn_vs_tn_pvalue,fn_vs_fn_pvalue,fn_vs_all_cohens_d,fn_vs_tp_cohens_d,fn_vs_tn_cohens_d,fn_vs_fn_cohens_d,fn_specific,fn_vs_others_significant
AvgICTF,10.346273548250037,1.7707491414462957,8498,10.06053055937338,1.7416099125760012,2002,9.71110492699751,10.378283122936487,0.0011000663278254664,3.5033908782980947e-13,0.013654726064622317,0.06404218552947148,0.07358243309937747,0.2716075348249484,-0.1064146224236219,-0.08801517879561865,False,True
AvgIDF,6.07522161097274,1.6648424604740788,8498,5.776774225698371,1.6470517912193912,2002,5.404968081414821,6.103200283604888,0.0007544258308449718,1.3392454218047844e-15,0.0038124286561693798,0.04024783955147917,0.07963060685480898,0.30376671540458394,-0.11689184399228446,-0.09981783251096255,False,True
Clarity,1.2323029480955672,0.11939417065803809,8498,1.2273998547598692,0.1201846865975049,2002,1.2249484917392863,1.2223039819892179,0.08310333203617457,0.13861598143000267,0.06451597752917015,0.823269361181004,0.0447334774181187,0.06541011175027152,0.0873213161661308,0.003723934166936622,False,False
MaxIDF,12.315285679903486,3.658704530766022,8498,11.789794808705215,3.705139748570456,2002,11.070738160531342,12.471323125937966,0.06874311340348109,5.487174557965636e-08,0.004846527772403806,0.1026218434750564,0.04684692515437441,0.24203287759904255,-0.14013845525596613,-0.09688686840316835,False,True
MaxSCQ,77.50128138906729,6.361928552157089,8498,76.86598726283957,6.474377702363962,2002,75.77914670846097,77.8892430663572,0.10462173222152266,5.646179124267488e-07,0.023529415481364536,0.28710821501921524,0.03701080099577825,0.20634859812764808,-0.12471727811306337,-0.06282691735457169,False,True
NQC,0.020844188456364012,0.006731173279660836,8498,0.021333566950989383,0.006958382263272638,2002,0.02210246005691032,0.020813051387034737,0.8340306513897546,0.0016454394964862276,0.04568284072794764,0.3183533435095648,-0.020876975127533927,-0.1349119976252176,0.0561075566620556,0.051712209418517154,False,True
SClarity,8.561941270424931,1.7602298376391374,8498,8.273827867933282,1.7315345500915458,2002,7.954805477285353,8.546071543366901,0.00047257128810842294,2.6015178148402656e-12,0.07053154254984001,0.09046297296073752,0.08286452054471465,0.2646410408417285,-0.07226221201905789,-0.08106062508386701,False,True
SMV,2.7521861815748996,1.886350527638027,8498,2.87078064088584,1.9941352084234505,2002,3.068669865178567,2.75680902703048,0.9506637174040854,0.0035443324305535202,0.04601780966272834,0.3787231236179035,-0.02073189206976173,-0.12495816868104778,0.03926142879060707,0.04193415605525436,False,True
WIG,2.201451315066893,0.7073633780935323,8498,2.220286186134422,0.7147784993372237,2002,2.3216370530459516,2.1374806805660853,0.2854169798100369,0.002961203179713121,0.00019053219593329496,0.39129293984426905,0.016032423189929642,-0.12683286122243637,0.1331120454156042,0.04270181371190868,False,True
nSigma,0.5282656943512497,0.17874141674735206,8498,0.5408686600251174,0.18406910133650145,2002,0.567014288107276,0.5212882485959208,0.9378196068835514,0.00021150292841015273,0.0038539247910213863,0.23770826267529666,-0.011549567973448352,-0.1575092697151066,0.09766997103313292,0.05890503170601077,False,True
