Group,Count,Mean_confidence,Std_confidence,Median_confidence,Uncertain_count,Uncertain_pct,High_confidence_wrong,Low_confidence_correct
A (Both correct),949,0.41883160790427754,0.09648315757865868,0.4090246250920273,477,50.26343519494204,0,0
B (LogReg wins),313,0.4691164921771006,0.025279627440887353,0.47370118060430916,307,98.08306709265176,0,0
C (Both wrong),556,0.4152185993449371,0.07087904783599795,0.4196068385352076,339,60.97122302158273,28,0
D (Base wins),184,0.4672224559764558,0.02828229705904791,0.47095206091278086,179,97.28260869565217,0,0
