feature,fp_mean,fp_std,fp_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_mean,fp_vs_all_pvalue,fp_vs_tp_pvalue,fp_vs_tn_pvalue,fp_vs_fn_pvalue,fp_vs_all_cohens_d,fp_vs_tp_cohens_d,fp_vs_tn_cohens_d,fp_vs_fn_cohens_d,fp_specific,fp_vs_others_significant
AvgICTF,9.991896924033988,1.7271021905211679,7569,10.06053055937338,1.7416099125760012,2002,9.71110492699751,10.378283122936487,10.346273548250037,0.10431076892492674,1.4933516573160338e-05,3.718514872636424e-08,2.2729976081356087e-05,-0.039669273773016926,0.16288413421037823,-0.2240877196962515,-0.20492739479259875,False,True
AvgIDF,5.718072422101175,1.6328295642981607,7569,5.776774225698371,1.6470517912193912,2002,5.404968081414821,6.103200283604888,6.07522161097274,0.15242442561669894,3.445862137763958e-07,4.401903340552721e-09,1.1491667991015516e-05,-0.03588538146249432,0.19215239642384987,-0.2361975932219866,-0.21857388097431696,False,True
Clarity,1.2281321239472074,0.11967908269745023,7569,1.2273998547598692,0.1201846865975049,2002,1.2249484917392863,1.2223039819892179,1.2323029480955672,0.9987372205977533,0.6709328961579152,0.42438454222873845,0.5380880220864868,0.006113196680437546,0.026646471350187696,0.04861419384338028,-0.0348571579770659,False,False
MaxIDF,11.670033852378932,3.681747727289137,7569,11.789794808705215,3.705139748570456,2002,11.070738160531342,12.471323125937966,12.315285679903486,0.12588034450603086,0.000795519295292758,1.2506207419468838e-06,0.0012026413404323398,-0.03248502171189663,0.16178420458266093,-0.21915709802707994,-0.17575147490023296,False,True
MaxSCQ,76.87562041256248,6.534131493869447,7569,76.86598726283957,6.474377702363962,2002,75.77914670846097,77.8892430663572,77.50128138906729,0.6931168874237859,2.752260772413172e-05,0.003283150336552152,0.09890937176581968,0.0014770960131824382,0.16677697201484457,-0.1567779049677053,-0.09604527534660945,False,True
NQC,0.021256197078063567,0.0069479160136141135,7569,0.021333566950989383,0.006958382263272638,2002,0.02210246005691032,0.020813051387034737,0.020844188456364012,0.4159022881785436,0.0003459599457698942,0.09636180978787372,0.47563129370614865,-0.011132186121621496,-0.12179634098905066,0.06367866531642737,0.05941609108005081,False,True
SClarity,8.200298113690646,1.7144010046405656,7569,8.273827867933282,1.7315345500915458,2002,7.954805477285353,8.546071543366901,8.561941270424931,0.08517791651324792,0.00011850909157467966,4.149422630466786e-07,2.415545784304232e-05,-0.04279967450798956,0.14337939674926886,-0.2019605713471924,-0.21063279738337712,False,True
SMV,2.823554326092666,1.9590707294249312,7569,2.87078064088584,1.9941352084234505,2002,3.068669865178567,2.75680902703048,2.7521861815748996,0.1839957971133308,0.00012942349914398419,0.23321134782574848,0.8343354322201245,-0.024015966844331837,-0.1245519419698454,0.03398734563687676,0.03651975524403431,False,True
WIG,2.1858579014755333,0.6860619344380146,7569,2.220286186134422,0.7147784993372237,2002,2.3216370530459516,2.1374806805660853,2.201451315066893,0.06524694895066088,1.2621995522344962e-06,0.0425812783512723,0.5943678292339867,-0.049739963371690225,-0.19670363255536719,0.0703406775184696,-0.02270017406560872,False,True
nSigma,0.5365797817501365,0.18215367034021834,7569,0.5408686600251174,0.18406910133650145,2002,0.567014288107276,0.5212882485959208,0.5282656943512497,0.2601582953098418,7.338191261170719e-06,0.027505371558268963,0.5491089205701167,-0.023493510219365403,-0.16690024871543044,0.08382445522821631,0.04569465411223403,False,True
