Stratum,QPP_Range,QPP_Mean,Count,BERT_AUC,LogReg_AUC,L1_AUC,L2_AUC,ENet_AUC
1,0.913 - 1.842,1.531863395999754,667,0.6886273448773449,0.6885732323232323,0.6906655844155845,0.6867604617604618,0.6882395382395381
2,1.844 - 2.406,2.1052827984353772,667,0.6953808531835884,0.693777737523775,0.694321166561,0.6895027624309392,0.6909881351326872
3,2.407 - 5.845,3.022509630168983,668,0.7019847328244274,0.6749664584779088,0.6770668517233404,0.6702475133009484,0.6723016423779782
