feature,success_mean,success_std,success_median,error_mean,error_std,error_median,all_mean,all_std,p_success_vs_error,statistic,cohens_d
AvgICTF,10.346273548250037,1.7707787403375328,10.22651770679272,10.12101534943209,1.7796300142045791,10.015610414526346,10.06053055937338,1.7416099125760012,0.031353919140144994,151885.5,0.12689102263004448
AvgIDF,6.07522161097274,1.6563856574806821,5.937263430785406,5.851036033889169,1.6701626367454658,5.67010711900384,5.776774225698371,1.6470517912193912,0.02472033342931851,152361.5,0.13478454821006083
Clarity,1.2323029480955672,0.1191837868248535,1.2257963438588273,1.2340356475206653,0.12092402710344326,1.2268583455761948,1.2273998547598692,0.1201846865975049,0.8347540362704261,139824.5,-0.014432299302187736
MaxIDF,12.315285679903486,3.465312869002402,12.612267201812031,11.890815916008142,3.661031805562089,12.612267201812031,11.789794808705215,3.705139748570456,0.09224269451096324,149485.0,0.11908202295863894
MaxSCQ,77.50128138906729,6.117322850691977,79.6604531238375,77.0244970630845,6.536751807699406,79.52040177843405,76.86598726283957,6.474377702363962,0.34702869134345227,145693.5,0.07531528727484048
NQC,0.020844188456364012,0.006665843521539359,0.0199962670296502,0.021048954440774533,0.006791762653563267,0.0197656591002351,0.021333566950989383,0.006958382263272638,0.7695287442045489,139393.5,-0.030429932170099455
SClarity,8.561941270424931,1.7651751035479422,8.457386332249694,8.344196074076947,1.7680997655771005,8.187101176819267,8.273827867933282,1.7315345500915458,0.0389010578169025,151439.5,0.12325399512776479
SMV,2.7521861815748996,1.8583879682433062,2.3319091768435847,2.7805766469916726,1.8878607621636632,2.274565428495664,2.87078064088584,1.9941352084234505,0.974619610555375,140727.5,-0.015156274395600954
WIG,2.201451315066893,0.703464215182751,2.085464324951176,2.1948067028519165,0.689153746804708,2.0706309509277343,2.220286186134422,0.7147784993372237,0.8890579046380634,141603.5,0.00954211650993409
nSigma,0.5282656943512497,0.17794728258895937,0.4994818703073319,0.5327853963393856,0.17956392603846233,0.5009882175439507,0.5408686600251174,0.18406910133650145,0.7641469391842691,139357.5,-0.025283994853984845
